recipe_id,material_no,item_id,quantity,status,enabled
REC_EQ_T1_POWER_ACCESSORY,2,MAT_R01_WOLF_FANG,3,TUNABLE,TRUE
REC_EQ_T1_GUARD_ACCESSORY,1,MAT_R01_BOAR_HIDE,3,TUNABLE,TRUE
REC_EQ_T1_GUARD_ACCESSORY,2,MAT_R01_SOFTWOOD,2,TUNABLE,TRUE
REC_EQ_T1_WISDOM_ACCESSORY,1,MAT_R01_MEADOW_CRYSTAL,3,TUNABLE,TRUE
REC_EQ_T1_WISDOM_ACCESSORY,2,MAT_R01_SOFTWOOD,2,TUNABLE,TRUE
REC_EQ_T2_WARRIOR_WEAPON,1,MAT_R02_DARKWOOD,5,TUNABLE,TRUE
REC_EQ_T2_WARRIOR_WEAPON,2,MAT_R02_FOREST_CORE,3,TUNABLE,TRUE
REC_EQ_T2_GUARDIAN_WEAPON,1,MAT_R02_DARKWOOD,5,TUNABLE,TRUE
REC_EQ_T2_GUARDIAN_WEAPON,2,MAT_R02_FOREST_CORE,3,TUNABLE,TRUE
REC_EQ_T2_ARCHER_WEAPON,1,MAT_R02_DARKWOOD,5,TUNABLE,TRUE
REC_EQ_T2_ARCHER_WEAPON,2,MAT_R02_FOREST_CORE,3,TUNABLE,TRUE
REC_EQ_T2_MAGE_WEAPON,1,MAT_R02_DARKWOOD,4,TUNABLE,TRUE
REC_EQ_T2_MAGE_WEAPON,2,MAT_R02_OGRE_BONE,4,TUNABLE,TRUE
REC_EQ_T2_CLERIC_WEAPON,1,MAT_R02_DARKWOOD,4,TUNABLE,TRUE
REC_EQ_T2_CLERIC_WEAPON,2,MAT_R02_OGRE_BONE,4,TUNABLE,TRUE
REC_EQ_T2_HEAVY_ARMOR,1,MAT_R02_DARKWOOD,4,TUNABLE,TRUE
REC_EQ_T2_HEAVY_ARMOR,2,MAT_R02_SPIDER_SILK,6,TUNABLE,TRUE
REC_EQ_T2_HEAVY_HELMET,1,MAT_R02_FOREST_CORE,2,TUNABLE,TRUE
REC_EQ_T2_HEAVY_HELMET,2,MAT_R02_SPIDER_SILK,4,TUNABLE,TRUE
REC_EQ_T2_LIGHT_ARMOR,1,MAT_R02_DARKWOOD,4,TUNABLE,TRUE
REC_EQ_T2_LIGHT_ARMOR,2,MAT_R02_SPIDER_SILK,6,TUNABLE,TRUE
REC_EQ_T2_LIGHT_HELMET,1,MAT_R02_FOREST_CORE,2,TUNABLE,TRUE
REC_EQ_T2_LIGHT_HELMET,2,MAT_R02_SPIDER_SILK,4,TUNABLE,TRUE
REC_EQ_T2_CLOTH_ARMOR,1,MAT_R02_DARKWOOD,4,TUNABLE,TRUE
REC_EQ_T2_CLOTH_ARMOR,2,MAT_R02_OGRE_BONE,6,TUNABLE,TRUE
REC_EQ_T2_CLOTH_HELMET,1,MAT_R02_FOREST_CORE,2,TUNABLE,TRUE
REC_EQ_T2_CLOTH_HELMET,2,MAT_R02_OGRE_BONE,4,TUNABLE,TRUE
REC_EQ_T2_POWER_ACCESSORY,1,MAT_R02_DARKWOOD,3,TUNABLE,TRUE
REC_EQ_T2_POWER_ACCESSORY,2,MAT_R02_FOREST_CORE,4,TUNABLE,TRUE
REC_EQ_T2_GUARD_ACCESSORY,1,MAT_R02_DARKWOOD,3,TUNABLE,TRUE
REC_EQ_T2_GUARD_ACCESSORY,2,MAT_R02_SPIDER_SILK,4,TUNABLE,TRUE
REC_EQ_T2_WISDOM_ACCESSORY,1,MAT_R02_DARKWOOD,3,TUNABLE,TRUE
REC_EQ_T2_WISDOM_ACCESSORY,2,MAT_R02_OGRE_BONE,4,TUNABLE,TRUE
REC_EQ_T3_WARRIOR_WEAPON,1,MAT_R03_IRON_ORE,6,TUNABLE,TRUE
REC_EQ_T3_WARRIOR_WEAPON,2,MAT_R03_SILVER_ORE,3,TUNABLE,TRUE
REC_EQ_T3_GUARDIAN_WEAPON,1,MAT_R03_IRON_ORE,6,TUNABLE,TRUE
REC_EQ_T3_GUARDIAN_WEAPON,2,MAT_R03_SILVER_ORE,3,TUNABLE,TRUE
REC_EQ_T3_ARCHER_WEAPON,1,MAT_R03_IRON_ORE,6,TUNABLE,TRUE
REC_EQ_T3_ARCHER_WEAPON,2,MAT_R03_SILVER_ORE,3,TUNABLE,TRUE
REC_EQ_T3_MAGE_WEAPON,1,MAT_R03_ANCIENT_GEAR,5,TUNABLE,TRUE
REC_EQ_T3_MAGE_WEAPON,2,MAT_R03_IRON_ORE,5,TUNABLE,TRUE
REC_EQ_T3_CLERIC_WEAPON,1,MAT_R03_ANCIENT_GEAR,5,TUNABLE,TRUE
REC_EQ_T3_CLERIC_WEAPON,2,MAT_R03_IRON_ORE,5,TUNABLE,TRUE
REC_EQ_T3_HEAVY_ARMOR,1,MAT_R03_GOLEM_FRAGMENT,7,TUNABLE,TRUE
REC_EQ_T3_HEAVY_ARMOR,2,MAT_R03_IRON_ORE,5,TUNABLE,TRUE
REC_EQ_T3_HEAVY_HELMET,1,MAT_R03_GOLEM_FRAGMENT,5,TUNABLE,TRUE
REC_EQ_T3_HEAVY_HELMET,2,MAT_R03_SILVER_ORE,2,TUNABLE,TRUE
REC_EQ_T3_LIGHT_ARMOR,1,MAT_R03_GOLEM_FRAGMENT,7,TUNABLE,TRUE
REC_EQ_T3_LIGHT_ARMOR,2,MAT_R03_IRON_ORE,5,TUNABLE,TRUE
REC_EQ_T3_LIGHT_HELMET,1,MAT_R03_GOLEM_FRAGMENT,5,TUNABLE,TRUE
REC_EQ_T3_LIGHT_HELMET,2,MAT_R03_SILVER_ORE,2,TUNABLE,TRUE
REC_EQ_T3_CLOTH_ARMOR,1,MAT_R03_ANCIENT_GEAR,7,TUNABLE,TRUE
REC_EQ_T3_CLOTH_ARMOR,2,MAT_R03_IRON_ORE,5,TUNABLE,TRUE
REC_EQ_T3_CLOTH_HELMET,1,MAT_R03_ANCIENT_GEAR,5,TUNABLE,TRUE
REC_EQ_T3_CLOTH_HELMET,2,MAT_R03_SILVER_ORE,2,TUNABLE,TRUE
REC_EQ_T3_POWER_ACCESSORY,1,MAT_R03_IRON_ORE,4,TUNABLE,TRUE
REC_EQ_T3_POWER_ACCESSORY,2,MAT_R03_SILVER_ORE,5,TUNABLE,TRUE
REC_EQ_T3_GUARD_ACCESSORY,1,MAT_R03_GOLEM_FRAGMENT,5,TUNABLE,TRUE
REC_EQ_T3_GUARD_ACCESSORY,2,MAT_R03_IRON_ORE,4,TUNABLE,TRUE
REC_EQ_T3_WISDOM_ACCESSORY,1,MAT_R03_ANCIENT_GEAR,5,TUNABLE,TRUE
REC_EQ_T3_WISDOM_ACCESSORY,2,MAT_R03_IRON_ORE,4,TUNABLE,TRUE
REC_EQ_T4_WARRIOR_WEAPON,1,MAT_R04_BOG_CRYSTAL,7,TUNABLE,TRUE
REC_EQ_T4_WARRIOR_WEAPON,2,MAT_R04_TOXIC_GLAND,4,TUNABLE,TRUE
REC_EQ_T4_GUARDIAN_WEAPON,1,MAT_R04_BOG_CRYSTAL,7,TUNABLE,TRUE
REC_EQ_T4_GUARDIAN_WEAPON,2,MAT_R04_TOXIC_GLAND,4,TUNABLE,TRUE
REC_EQ_T4_ARCHER_WEAPON,1,MAT_R04_BOG_CRYSTAL,7,TUNABLE,TRUE
REC_EQ_T4_ARCHER_WEAPON,2,MAT_R04_TOXIC_GLAND,4,TUNABLE,TRUE
REC_EQ_T4_MAGE_WEAPON,1,MAT_R04_BOG_CRYSTAL,6,TUNABLE,TRUE
REC_EQ_T4_MAGE_WEAPON,2,MAT_R04_WITCHWATER,6,TUNABLE,TRUE
REC_EQ_T4_CLERIC_WEAPON,1,MAT_R04_BOG_CRYSTAL,6,TUNABLE,TRUE
REC_EQ_T4_CLERIC_WEAPON,2,MAT_R04_WITCHWATER,6,TUNABLE,TRUE
REC_EQ_T4_HEAVY_ARMOR,1,MAT_R04_BOG_CRYSTAL,6,TUNABLE,TRUE
REC_EQ_T4_HEAVY_ARMOR,2,MAT_R04_TROLL_HIDE,8,TUNABLE,TRUE
REC_EQ_T4_HEAVY_HELMET,1,MAT_R04_TOXIC_GLAND,3,TUNABLE,TRUE
REC_EQ_T4_HEAVY_HELMET,2,MAT_R04_TROLL_HIDE,6,TUNABLE,TRUE
REC_EQ_T4_LIGHT_ARMOR,1,MAT_R04_BOG_CRYSTAL,6,TUNABLE,TRUE
REC_EQ_T4_LIGHT_ARMOR,2,MAT_R04_TROLL_HIDE,8,TUNABLE,TRUE
REC_EQ_T4_LIGHT_HELMET,1,MAT_R04_TOXIC_GLAND,3,TUNABLE,TRUE
REC_EQ_T4_LIGHT_HELMET,2,MAT_R04_TROLL_HIDE,6,TUNABLE,TRUE
REC_EQ_T4_CLOTH_ARMOR,1,MAT_R04_BOG_CRYSTAL,6,TUNABLE,TRUE
REC_EQ_T4_CLOTH_ARMOR,2,MAT_R04_WITCHWATER,8,TUNABLE,TRUE
REC_EQ_T4_CLOTH_HELMET,1,MAT_R04_TOXIC_GLAND,3,TUNABLE,TRUE
REC_EQ_T4_CLOTH_HELMET,2,MAT_R04_WITCHWATER,6,TUNABLE,TRUE
REC_EQ_T4_POWER_ACCESSORY,1,MAT_R04_BOG_CRYSTAL,5,TUNABLE,TRUE
REC_EQ_T4_POWER_ACCESSORY,2,MAT_R04_TOXIC_GLAND,6,TUNABLE,TRUE
REC_EQ_T4_GUARD_ACCESSORY,1,MAT_R04_BOG_CRYSTAL,5,TUNABLE,TRUE
REC_EQ_T4_GUARD_ACCESSORY,2,MAT_R04_TROLL_HIDE,6,TUNABLE,TRUE
REC_EQ_T4_WISDOM_ACCESSORY,1,MAT_R04_BOG_CRYSTAL,5,TUNABLE,TRUE
REC_EQ_T4_WISDOM_ACCESSORY,2,MAT_R04_WITCHWATER,6,TUNABLE,TRUE
REC_EQ_T5_WARRIOR_WEAPON,1,MAT_R05_FROST_ORE,8,TUNABLE,TRUE
REC_EQ_T5_WARRIOR_WEAPON,2,MAT_R05_FROZEN_CORE,4,TUNABLE,TRUE
REC_EQ_T5_GUARDIAN_WEAPON,1,MAT_R05_FROST_ORE,8,TUNABLE,TRUE
REC_EQ_T5_GUARDIAN_WEAPON,2,MAT_R05_FROZEN_CORE,4,TUNABLE,TRUE
REC_EQ_T5_ARCHER_WEAPON,1,MAT_R05_FROST_ORE,8,TUNABLE,TRUE
REC_EQ_T5_ARCHER_WEAPON,2,MAT_R05_FROZEN_CORE,4,TUNABLE,TRUE
REC_EQ_T5_MAGE_WEAPON,1,MAT_R05_ANCIENT_RUNE,7,TUNABLE,TRUE
REC_EQ_T5_MAGE_WEAPON,2,MAT_R05_FROST_ORE,7,TUNABLE,TRUE
REC_EQ_T5_CLERIC_WEAPON,1,MAT_R05_ANCIENT_RUNE,7,TUNABLE,TRUE
REC_EQ_T5_CLERIC_WEAPON,2,MAT_R05_FROST_ORE,7,TUNABLE,TRUE
REC_EQ_T5_HEAVY_ARMOR,1,MAT_R05_FROST_ORE,7,TUNABLE,TRUE
REC_EQ_T5_HEAVY_ARMOR,2,MAT_R05_YETI_FUR,9,TUNABLE,TRUE
REC_EQ_T5_HEAVY_HELMET,1,MAT_R05_FROZEN_CORE,3,TUNABLE,TRUE
REC_EQ_T5_HEAVY_HELMET,2,MAT_R05_YETI_FUR,7,TUNABLE,TRUE
REC_EQ_T5_LIGHT_ARMOR,1,MAT_R05_FROST_ORE,7,TUNABLE,TRUE
REC_EQ_T5_LIGHT_ARMOR,2,MAT_R05_YETI_FUR,9,TUNABLE,TRUE
REC_EQ_T5_LIGHT_HELMET,1,MAT_R05_FROZEN_CORE,3,TUNABLE,TRUE
REC_EQ_T5_LIGHT_HELMET,2,MAT_R05_YETI_FUR,7,TUNABLE,TRUE
REC_EQ_T5_CLOTH_ARMOR,1,MAT_R05_ANCIENT_RUNE,9,TUNABLE,TRUE
REC_EQ_T5_CLOTH_ARMOR,2,MAT_R05_FROST_ORE,7,TUNABLE,TRUE
REC_EQ_T5_CLOTH_HELMET,1,MAT_R05_ANCIENT_RUNE,7,TUNABLE,TRUE
REC_EQ_T5_CLOTH_HELMET,2,MAT_R05_FROZEN_CORE,3,TUNABLE,TRUE
REC_EQ_T5_POWER_ACCESSORY,1,MAT_R05_FROST_ORE,6,TUNABLE,TRUE
REC_EQ_T5_POWER_ACCESSORY,2,MAT_R05_FROZEN_CORE,7,TUNABLE,TRUE
REC_EQ_T5_GUARD_ACCESSORY,1,MAT_R05_FROST_ORE,6,TUNABLE,TRUE
REC_EQ_T5_GUARD_ACCESSORY,2,MAT_R05_YETI_FUR,7,TUNABLE,TRUE
REC_EQ_T5_WISDOM_ACCESSORY,1,MAT_R05_ANCIENT_RUNE,7,TUNABLE,TRUE
REC_EQ_T5_WISDOM_ACCESSORY,2,MAT_R05_FROST_ORE,6,TUNABLE,TRUE
REC_EQ_BOSS_HYDRA_WARRIOR,1,MAT_BOSS_HYDRA_FANG,3,TUNABLE,TRUE
REC_EQ_BOSS_HYDRA_WARRIOR,2,MAT_BOSS_HYDRA_HEART,1,TUNABLE,TRUE
REC_EQ_BOSS_HYDRA_WARRIOR,3,MAT_R04_BOG_CRYSTAL,5,TUNABLE,TRUE
REC_EQ_BOSS_HYDRA_GUARDIAN,1,MAT_BOSS_HYDRA_SCALE,5,TUNABLE,TRUE
REC_EQ_BOSS_HYDRA_GUARDIAN,2,MAT_R04_TROLL_HIDE,5,TUNABLE,TRUE
REC_EQ_BOSS_HYDRA_ARCHER,1,MAT_BOSS_HYDRA_FANG,2,TUNABLE,TRUE
REC_EQ_BOSS_HYDRA_ARCHER,2,MAT_BOSS_HYDRA_VENOM,3,TUNABLE,TRUE
REC_EQ_BOSS_HYDRA_ARCHER,3,MAT_R04_BOG_CRYSTAL,4,TUNABLE,TRUE
REC_EQ_BOSS_HYDRA_MAGE,1,MAT_BOSS_HYDRA_HEART,1,TUNABLE,TRUE
REC_EQ_BOSS_HYDRA_MAGE,2,MAT_BOSS_HYDRA_VENOM,3,TUNABLE,TRUE
REC_EQ_BOSS_HYDRA_MAGE,3,MAT_R04_WITCHWATER,5,TUNABLE,TRUE
REC_EQ_BOSS_HYDRA_CLERIC,1,MAT_BOSS_HYDRA_HEART,1,TUNABLE,TRUE
REC_EQ_BOSS_HYDRA_CLERIC,2,MAT_R04_WITCHWATER,6,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_WARRIOR,1,MAT_BOSS_ASH_CORE,3,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_WARRIOR,2,MAT_BOSS_DRAGON_HEART,1,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_WARRIOR,3,MAT_BOSS_DRAGON_HORN,3,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_GUARDIAN,1,MAT_BOSS_ASH_CORE,3,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_GUARDIAN,2,MAT_BOSS_DRAGON_SCALE,6,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_ARCHER,1,MAT_BOSS_ASH_CORE,4,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_ARCHER,2,MAT_BOSS_DRAGON_HORN,2,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_ARCHER,3,MAT_R05_ANCIENT_RUNE,5,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_MAGE,1,MAT_BOSS_ASH_CORE,4,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_MAGE,2,MAT_BOSS_DRAGON_HEART,1,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_MAGE,3,MAT_R05_FROZEN_CORE,5,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_CLERIC,1,MAT_BOSS_DRAGON_HEART,1,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_CLERIC,2,MAT_BOSS_DRAGON_SCALE,3,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_CLERIC,3,MAT_R05_ANCIENT_RUNE,5,TUNABLE,TRUE
REC_POT_HEAL_SMALL,1,MAT_R01_SLIME_GEL,1,TUNABLE,TRUE
REC_POT_HEAL_SMALL,2,MAT_R01_WILD_HERB,2,TUNABLE,TRUE
REC_POT_HEAL_MEDIUM,1,MAT_R01_SLIME_GEL,1,TUNABLE,TRUE
REC_POT_HEAL_MEDIUM,2,MAT_R02_MOONLEAF,2,TUNABLE,TRUE
REC_POT_HEAL_MEDIUM,3,MAT_R02_SPIDER_SILK,1,TUNABLE,TRUE
REC_POT_HEAL_LARGE,1,MAT_R03_BAT_WING,1,TUNABLE,TRUE
REC_POT_HEAL_LARGE,2,MAT_R04_MIASMA_MOSS,2,TUNABLE,TRUE
REC_POT_HEAL_LARGE,3,MAT_R04_WITCHWATER,1,TUNABLE,TRUE
REC_POT_ANTIDOTE,1,MAT_R02_MOONLEAF,1,TUNABLE,TRUE
REC_POT_ANTIDOTE,2,MAT_R02_VENOM_SAC,1,TUNABLE,TRUE
REC_POT_POISON_RESIST,1,MAT_R04_MIASMA_MOSS,2,TUNABLE,TRUE
REC_POT_POISON_RESIST,2,MAT_R04_TOXIC_GLAND,1,TUNABLE,TRUE
REC_POT_FROST_RESIST,1,MAT_R05_ICE_BLOOM,2,TUNABLE,TRUE
REC_POT_FROST_RESIST,2,MAT_R05_WRAITH_DUST,1,TUNABLE,TRUE
REC_POT_RAID_POWER,1,MAT_BOSS_ASH_CORE,1,TUNABLE,TRUE
REC_POT_RAID_POWER,2,MAT_R05_ANCIENT_RUNE,2,TUNABLE,TRUE
