locale,text_key,text_value,context,status,enabled
en-US,TXT_P04_NAV_KINGDOM,Kingdom,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_NAV_MENU,Menu,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_NAV_MERCENARIES,Mercenaries,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_NAV_RECRUIT,Recruit,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_NAV_REGION,Region,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_STATE_ACTIVE,Active,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_STATE_BUILDABLE,Ready to build,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_STATE_BUILDING,Building,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_STATE_LOCKED,Locked,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_STATE_STOPPED,Stopped,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_STATE_UPGRADING,Upgrading,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_STOP_NPC_REQUIRED,Assign the required management NPC to activate.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_TAB_OPERATIONS,Operations,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_TAB_OVERVIEW,Overview,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_TAB_STAFF,Staff,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_TAB_UPGRADE,Upgrade,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_TIMER_TICK_DESC,Facility remaining-time display interval,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_TIME_FINISHES,Finishes at {time},P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_TIME_REMAINING,Time remaining: {time},P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_UI_CONTENT,Kingdom,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_UI_EMPTY,No facility data is available.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_UI_ERROR,Kingdom cannot be displayed.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_UI_LOADING,Loading kingdom…,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_UI_LOCKED,This facility is locked.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_UI_OFFLINE,Offline: local facility management remains available.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P05_ACTION_ACTIVATE,Set Active,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_ACTION_CLEAR_SEARCH,Clear Search,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_ACTION_CLOSE,Close,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_ACTION_DEACTIVATE,Set Inactive,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_ACTION_RESET_FILTERS,Reset Filters,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_ACTION_RETRY,Retry,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_ACTIVE_COUNT,Active {current}/{max},P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_AUTONOMY_BUY_CONSUMABLES,Buy Consumables,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_AUTONOMY_BUY_EQUIPMENT,Buy Equipment,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_AUTONOMY_COMBAT,Combat,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_AUTONOMY_CONTINUE_DECISION,Continue Decision,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_AUTONOMY_EVALUATE_EQUIPMENT,Evaluate Equipment,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_AUTONOMY_FIND_TARGET,Find Target,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_AUTONOMY_HEAL,Heal,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_AUTONOMY_IDLE_TOWN,Idle Town,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_AUTONOMY_INJURED,Injured,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_AUTONOMY_LOOT,Loot,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_AUTONOMY_PREPARE,Prepare,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_AUTONOMY_PROMOTION_PROCESS,Promotion Process,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_AUTONOMY_PROMOTION_READY,Promotion Ready,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_AUTONOMY_RAID_READY,Raid Ready,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_AUTONOMY_RETURN_TOWN,Return Town,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_AUTONOMY_SELL_LOOT,Sell Loot,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_AUTONOMY_TRAVEL_TO_REGION,Travel To Region,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_DEFER_COMBAT_STATS,Combat stats unlock in P06.,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_DEFER_EQUIPMENT,Equipment changes unlock in P07.,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_DEFER_PROMOTION,Promotion review unlocks in P11.,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_DEFER_RECRUITMENT,Recruitment unlocks in P13.,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_ERROR_ACTIVE_LIMIT,All active mercenary slots are full.,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_ERROR_LOAD,Could not load mercenary save data.,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_ERROR_NOT_FOUND,Mercenary not found.,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_ERROR_OWNED_LIMIT,All owned mercenary slots are full.,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_ERROR_REVISION,Another change was saved first. Reloading.,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_ERROR_SAVE,Could not save mercenary changes.,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_ERROR_STATE_FORBIDDEN,Activity cannot be changed in the current state.,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_ACCESSORY,Accessory,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_ACTION_REASON,Action Reason,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_ARMOR,Armor,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_CONTRIBUTION,Contribution {amount},P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_CURRENT_ACTION,Current Action,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_EXP,EXP {exp},P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_GRADE,Base Grade,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_HELMET,Helmet,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_HUNT_COUNT,Hunts {amount},P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_ITEMS_COLLECTED,Items Collected {amount},P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_JOB,Job,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_KILL_COUNT,Kills {amount},P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_LEVEL,Level {level}/{max},P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_PERSONALITY,Personality,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_PERSONAL_GOLD,Personal Gold {amount},P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_POTIONS,Potions,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_RAID_CLEAR,Raid Clears {amount},P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_RANK,Growth Rank,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_TRAITS,Traits,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FIELD_WEAPON,Weapon,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FILTER_ACTIVE,Activity,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FILTER_ALL,All,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FILTER_GRADE,Grade,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FILTER_INJURY,Injured,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FILTER_JOB,Job,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FILTER_NO_RESULTS,No mercenaries match these filters.,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FILTER_PROMOTION,Promotion Ready,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FILTER_RANK,Rank,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_FILTER_STATUS,Status,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_REASON_HP_LOW,Low HP,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_REASON_INVENTORY_FULL,Inventory full,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_REASON_LOOT_COMPLETE,Loot complete,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_REASON_NONE,None,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_REASON_PLAYER_RECALL,Player recall,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_REASON_POLICY,Kingdom policy,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_REASON_POTION_LOW,Low potions,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_REASON_PROMOTION_AVAILABLE,Promotion available,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_REASON_SURVIVAL_LOW,Low survival chance,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_REASON_TARGET_FOUND,Target found,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_ROSTER_COUNT,Owned {current}/{max},P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_SEARCH_PLACEHOLDER,Search mercenary name,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_SLOT_SOURCE,Mercenary Lodge Level {level},P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_SORT_ASC,Ascending,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_SORT_DEFAULT,Default Order,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_SORT_DESC,Descending,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_SORT_GRADE,Grade,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_SORT_LEVEL,Level,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_SORT_NAME,Name,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_SORT_RANK,Rank,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_STATUS_ACTIVE,Active,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_STATUS_INACTIVE,Inactive,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_TAB_EQUIPMENT,Equipment,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_TAB_GROWTH,Growth,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_TAB_OVERVIEW,Overview,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_TAB_RECORDS,Records,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_TITLE,Mercenaries,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_UI_CONTENT,Mercenary Roster,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_UI_EMPTY,No mercenaries are owned.,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_UI_ERROR,Mercenary data cannot be displayed.,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_UI_LOADING,Loading mercenaries…,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_UI_LOCKED,The mercenary roster is still locked.,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P05_UI_OFFLINE,Offline: local roster management remains available.,P05_ROSTER,CONFIRMED,TRUE
en-US,TXT_P06_COMBAT_RESULT,Kills {kills} · Contribution +{contribution} · Personal Gold +{gold},P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_CONTENT_MISSING,Combat content is invalid.,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_DISABLED_INACTIVE,Only active mercenaries can deploy.,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_DISABLED_STATE,Only town-idle mercenaries can deploy.,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_EMPTY,No active mercenary can deploy.,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_ERROR,Combat cannot continue.,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_LOADING,Loading region…,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_LOCKED,The first region is locked.,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_NO_POTION,Returning safely because no potion is available.,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_OFFLINE,Offline: normal hunting runs locally.,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_PARTY_INVALID,Check the selected party.,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_PARTY_REQUIRED,Select at least one mercenary.,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_PARTY_SELECT,Select Party,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_PATH_FAILED,No movement path was found.,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_PAUSE,Pause,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_PERFORMANCE_GUARD,The hunt ended to preserve stability.,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_POOL_EXHAUSTED,Combat display capacity was exceeded.,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_RECALL,Recall,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_RECALL_CONFIRM,End this hunt and return?,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_RECOVERED,The interrupted combat was cancelled and the party returned to town.,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_REGION_TITLE,Meadow Road,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_RESULT_TITLE,Hunt Result,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_RESUME,Resume,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_RETRY,Reload,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_RETURN_FAILED,Safe return was used because the route failed.,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_SPEED,Observe Speed ×{speed},P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_START_HUNT,Start Hunt,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_STATE_DEFERRED,This action is not available yet.,P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_STATUS_ACTION,Action: {action},P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_STATUS_HP,HP {current}/{max},P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P06_STATUS_REASON,Reason: {reason},P06_COMBAT,CONFIRMED,TRUE
en-US,TXT_P07_AUTO_EQUIP,Auto-equip,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_AUTO_SELL,Auto-sell,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_CAPACITY,Storage {used}/{capacity},P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_CAPACITY_ERROR,Not enough storage space.,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_COMBAT_GUARD,Equipment can be changed only in town.,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_EMPTY,No items are owned.,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_EQUIP,Equip,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_EQUIPPED_ERROR,Equipped equipment cannot be sold.,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_ERROR,Inventory cannot be displayed.,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_FILTER,Filter,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_HUNT_BUFFER_FULL,Returning because the hunt loot buffer is full.,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_INVENTORY_TITLE,Inventory,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_LOADING,Loading inventory…,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_LOCK,Protect,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_LOCKED,Inventory is still locked.,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_LOOT_RESULT,Loot {items} · Auto-sale +{gold},P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_OFFLINE,Offline: local inventory management remains available.,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_OVERFLOW_BODY,Loot beyond storage capacity was discarded in deterministic order.,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_OVERFLOW_TITLE,Loot Not Stored,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_POLICY_INVALID,Inventory policy values are invalid.,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_POTION_CAPACITY,Mercenary potion slots are full.,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_POTION_RETURN,Return to Warehouse,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_POTION_TRANSFER,Assign to Mercenary,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_PROTECTED_ERROR,Protected equipment cannot be sold.,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_PROTECT_QUALITY,Quality protection,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_SCORE,Equipment score {score},P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_SEARCH,Search by name,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_SELL,Sell,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_SELL_CONFIRM,Sell {name} for {gold} personal gold.,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_SORT,Sort,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_STAT_DELTA,Change {delta},P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_TAB_EQUIPMENT,Equipment,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_TAB_ITEMS,Materials,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_TAB_POTIONS,Potions,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_TRANSFER_INVALID,The potion transfer could not be completed.,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_UNEQUIP,Unequip,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P07_UNLOCK,Unprotect,P07_INVENTORY,CONFIRMED,TRUE
en-US,TXT_P08_BUY,Buy,STORE_ACTION,CONFIRMED,TRUE
en-US,TXT_P08_COMPARE,Compare Equipment,STORE_LABEL,CONFIRMED,TRUE
en-US,TXT_P08_CONFIRM_TITLE,Confirm Transaction,STORE_MODAL,CONFIRMED,TRUE
en-US,TXT_P08_DECREASE,Decrease Quantity,ACCESSIBILITY,CONFIRMED,TRUE
en-US,TXT_P08_FILTER,Filter,STORE_ACTION,CONFIRMED,TRUE
en-US,TXT_P08_INCREASE,Increase Quantity,ACCESSIBILITY,CONFIRMED,TRUE
en-US,TXT_P08_PERSONAL_GOLD_HELP,Gold carried and spent by this mercenary.,STORE_HELP,CONFIRMED,TRUE
en-US,TXT_P08_POLICY,Pricing Policy,STORE_LABEL,CONFIRMED,TRUE
en-US,TXT_P08_POLICY_HIGH,High,STORE_POLICY,CONFIRMED,TRUE
en-US,TXT_P08_POLICY_HIGH_EFFECT,Prices 15% higher; purchases become less likely.,STORE_POLICY,CONFIRMED,TRUE
en-US,TXT_P08_POLICY_LOW,Low,STORE_POLICY,CONFIRMED,TRUE
en-US,TXT_P08_POLICY_LOW_EFFECT,Prices 10% lower; purchases become more likely.,STORE_POLICY,CONFIRMED,TRUE
en-US,TXT_P08_POLICY_STANDARD,Standard,STORE_POLICY,CONFIRMED,TRUE
en-US,TXT_P08_POLICY_STANDARD_EFFECT,Standard prices and purchase behavior.,STORE_POLICY,CONFIRMED,TRUE
en-US,TXT_P08_PRODUCT_DETAIL,Product Details,STORE_LABEL,CONFIRMED,TRUE
en-US,TXT_P08_QUOTE_CHANGED,The price or stock changed. Review the new quote.,STORE_ERROR,CONFIRMED,TRUE
en-US,TXT_P08_REASON_AUTO_SELL,Automatically sold eligible loot.,STORE_ACTIVITY,CONFIRMED,TRUE
en-US,TXT_P08_REASON_EQUIPMENT,Bought an equipment upgrade.,STORE_ACTIVITY,CONFIRMED,TRUE
en-US,TXT_P08_REASON_HEAL_DEFERRED,Treatment becomes available with the infirmary phase.,STORE_ACTIVITY,CONFIRMED,TRUE
en-US,TXT_P08_REASON_NONE,No eligible store action.,STORE_ACTIVITY,CONFIRMED,TRUE
en-US,TXT_P08_REASON_POLICY,Changed the pricing policy.,STORE_ACTIVITY,CONFIRMED,TRUE
en-US,TXT_P08_REASON_POTION_LOW,Bought potions to reach the target.,STORE_ACTIVITY,CONFIRMED,TRUE
en-US,TXT_P08_REASON_PURCHASE,Bought goods from the kingdom store.,STORE_ACTIVITY,CONFIRMED,TRUE
en-US,TXT_P08_REASON_RETURNED,Returned to town and visited the store.,STORE_ACTIVITY,CONFIRMED,TRUE
en-US,TXT_P08_REASON_SALE,Sold goods to the kingdom store.,STORE_ACTIVITY,CONFIRMED,TRUE
en-US,TXT_P08_REASON_SUPPLY,Emergency stock supplied.,STORE_ACTIVITY,CONFIRMED,TRUE
en-US,TXT_P08_RECENT_ACTIVITY,Recent Activity,STORE_LABEL,CONFIRMED,TRUE
en-US,TXT_P08_REPLAYED,The completed transaction was restored.,STORE_RESULT,CONFIRMED,TRUE
