equipment_id,name_ko,tier,slot,allowed_jobs,profile,base_power,source,boss_id,status
EQ_T1_WISDOM_ACCESSORY,개척자의 지혜의 펜던트,1,ACCESSORY,JOB_MAGE|JOB_CLERIC,WISDOM,45,CRAFT,,TUNABLE
EQ_T2_WARRIOR_WEAPON,어둠숲 검,2,WEAPON,JOB_WARRIOR,SWORD,180,CRAFT,,TUNABLE
EQ_T2_GUARDIAN_WEAPON,어둠숲 수호 철퇴,2,WEAPON,JOB_GUARDIAN,HAMMER_SHIELD,180,CRAFT,,TUNABLE
EQ_T2_ARCHER_WEAPON,어둠숲 활,2,WEAPON,JOB_ARCHER,BOW,180,CRAFT,,TUNABLE
EQ_T2_MAGE_WEAPON,어둠숲 지팡이,2,WEAPON,JOB_MAGE,STAFF,180,CRAFT,,TUNABLE
EQ_T2_CLERIC_WEAPON,어둠숲 성직 철퇴,2,WEAPON,JOB_CLERIC,MACE,180,CRAFT,,TUNABLE
EQ_T2_HEAVY_ARMOR,어둠숲 중갑,2,ARMOR,JOB_WARRIOR|JOB_GUARDIAN,HEAVY,162,CRAFT,,TUNABLE
EQ_T2_HEAVY_HELMET,어둠숲 중갑 투구,2,HELMET,JOB_WARRIOR|JOB_GUARDIAN,HEAVY,99,CRAFT,,TUNABLE
EQ_T2_LIGHT_ARMOR,어둠숲 경갑,2,ARMOR,JOB_ARCHER,LIGHT,162,CRAFT,,TUNABLE
EQ_T2_LIGHT_HELMET,어둠숲 경갑 투구,2,HELMET,JOB_ARCHER,LIGHT,99,CRAFT,,TUNABLE
EQ_T2_CLOTH_ARMOR,어둠숲 로브,2,ARMOR,JOB_MAGE|JOB_CLERIC,CLOTH,162,CRAFT,,TUNABLE
EQ_T2_CLOTH_HELMET,어둠숲 로브 투구,2,HELMET,JOB_MAGE|JOB_CLERIC,CLOTH,99,CRAFT,,TUNABLE
EQ_T2_POWER_ACCESSORY,어둠숲 힘의 부적,2,ACCESSORY,JOB_WARRIOR|JOB_ARCHER,POWER,81,CRAFT,,TUNABLE
EQ_T2_GUARD_ACCESSORY,어둠숲 수호 부적,2,ACCESSORY,JOB_GUARDIAN,GUARD,81,CRAFT,,TUNABLE
EQ_T2_WISDOM_ACCESSORY,어둠숲 지혜의 펜던트,2,ACCESSORY,JOB_MAGE|JOB_CLERIC,WISDOM,81,CRAFT,,TUNABLE
EQ_T3_WARRIOR_WEAPON,철맥 검,3,WEAPON,JOB_WARRIOR,SWORD,320,CRAFT,,TUNABLE
EQ_T3_GUARDIAN_WEAPON,철맥 수호 철퇴,3,WEAPON,JOB_GUARDIAN,HAMMER_SHIELD,320,CRAFT,,TUNABLE
EQ_T3_ARCHER_WEAPON,철맥 활,3,WEAPON,JOB_ARCHER,BOW,320,CRAFT,,TUNABLE
EQ_T3_MAGE_WEAPON,철맥 지팡이,3,WEAPON,JOB_MAGE,STAFF,320,CRAFT,,TUNABLE
EQ_T3_CLERIC_WEAPON,철맥 성직 철퇴,3,WEAPON,JOB_CLERIC,MACE,320,CRAFT,,TUNABLE
EQ_T3_HEAVY_ARMOR,철맥 중갑,3,ARMOR,JOB_WARRIOR|JOB_GUARDIAN,HEAVY,288,CRAFT,,TUNABLE
EQ_T3_HEAVY_HELMET,철맥 중갑 투구,3,HELMET,JOB_WARRIOR|JOB_GUARDIAN,HEAVY,176,CRAFT,,TUNABLE
EQ_T3_LIGHT_ARMOR,철맥 경갑,3,ARMOR,JOB_ARCHER,LIGHT,288,CRAFT,,TUNABLE
EQ_T3_LIGHT_HELMET,철맥 경갑 투구,3,HELMET,JOB_ARCHER,LIGHT,176,CRAFT,,TUNABLE
EQ_T3_CLOTH_ARMOR,철맥 로브,3,ARMOR,JOB_MAGE|JOB_CLERIC,CLOTH,288,CRAFT,,TUNABLE
EQ_T3_CLOTH_HELMET,철맥 로브 투구,3,HELMET,JOB_MAGE|JOB_CLERIC,CLOTH,176,CRAFT,,TUNABLE
EQ_T3_POWER_ACCESSORY,철맥 힘의 부적,3,ACCESSORY,JOB_WARRIOR|JOB_ARCHER,POWER,144,CRAFT,,TUNABLE
EQ_T3_GUARD_ACCESSORY,철맥 수호 부적,3,ACCESSORY,JOB_GUARDIAN,GUARD,144,CRAFT,,TUNABLE
EQ_T3_WISDOM_ACCESSORY,철맥 지혜의 펜던트,3,ACCESSORY,JOB_MAGE|JOB_CLERIC,WISDOM,144,CRAFT,,TUNABLE
EQ_T4_WARRIOR_WEAPON,독안개 검,4,WEAPON,JOB_WARRIOR,SWORD,560,CRAFT,,TUNABLE
EQ_T4_GUARDIAN_WEAPON,독안개 수호 철퇴,4,WEAPON,JOB_GUARDIAN,HAMMER_SHIELD,560,CRAFT,,TUNABLE
EQ_T4_ARCHER_WEAPON,독안개 활,4,WEAPON,JOB_ARCHER,BOW,560,CRAFT,,TUNABLE
EQ_T4_MAGE_WEAPON,독안개 지팡이,4,WEAPON,JOB_MAGE,STAFF,560,CRAFT,,TUNABLE
EQ_T4_CLERIC_WEAPON,독안개 성직 철퇴,4,WEAPON,JOB_CLERIC,MACE,560,CRAFT,,TUNABLE
EQ_T4_HEAVY_ARMOR,독안개 중갑,4,ARMOR,JOB_WARRIOR|JOB_GUARDIAN,HEAVY,504,CRAFT,,TUNABLE
EQ_T4_HEAVY_HELMET,독안개 중갑 투구,4,HELMET,JOB_WARRIOR|JOB_GUARDIAN,HEAVY,308,CRAFT,,TUNABLE
EQ_T4_LIGHT_ARMOR,독안개 경갑,4,ARMOR,JOB_ARCHER,LIGHT,504,CRAFT,,TUNABLE
EQ_T4_LIGHT_HELMET,독안개 경갑 투구,4,HELMET,JOB_ARCHER,LIGHT,308,CRAFT,,TUNABLE
EQ_T4_CLOTH_ARMOR,독안개 로브,4,ARMOR,JOB_MAGE|JOB_CLERIC,CLOTH,504,CRAFT,,TUNABLE
EQ_T4_CLOTH_HELMET,독안개 로브 투구,4,HELMET,JOB_MAGE|JOB_CLERIC,CLOTH,308,CRAFT,,TUNABLE
EQ_T4_POWER_ACCESSORY,독안개 힘의 부적,4,ACCESSORY,JOB_WARRIOR|JOB_ARCHER,POWER,252,CRAFT,,TUNABLE
EQ_T4_GUARD_ACCESSORY,독안개 수호 부적,4,ACCESSORY,JOB_GUARDIAN,GUARD,252,CRAFT,,TUNABLE
EQ_T4_WISDOM_ACCESSORY,독안개 지혜의 펜던트,4,ACCESSORY,JOB_MAGE|JOB_CLERIC,WISDOM,252,CRAFT,,TUNABLE
EQ_T5_WARRIOR_WEAPON,빙결 유적 검,5,WEAPON,JOB_WARRIOR,SWORD,900,CRAFT,,TUNABLE
EQ_T5_GUARDIAN_WEAPON,빙결 유적 수호 철퇴,5,WEAPON,JOB_GUARDIAN,HAMMER_SHIELD,900,CRAFT,,TUNABLE
EQ_T5_ARCHER_WEAPON,빙결 유적 활,5,WEAPON,JOB_ARCHER,BOW,900,CRAFT,,TUNABLE
EQ_T5_MAGE_WEAPON,빙결 유적 지팡이,5,WEAPON,JOB_MAGE,STAFF,900,CRAFT,,TUNABLE
EQ_T5_CLERIC_WEAPON,빙결 유적 성직 철퇴,5,WEAPON,JOB_CLERIC,MACE,900,CRAFT,,TUNABLE
EQ_T5_HEAVY_ARMOR,빙결 유적 중갑,5,ARMOR,JOB_WARRIOR|JOB_GUARDIAN,HEAVY,810,CRAFT,,TUNABLE
EQ_T5_HEAVY_HELMET,빙결 유적 중갑 투구,5,HELMET,JOB_WARRIOR|JOB_GUARDIAN,HEAVY,495,CRAFT,,TUNABLE
EQ_T5_LIGHT_ARMOR,빙결 유적 경갑,5,ARMOR,JOB_ARCHER,LIGHT,810,CRAFT,,TUNABLE
EQ_T5_LIGHT_HELMET,빙결 유적 경갑 투구,5,HELMET,JOB_ARCHER,LIGHT,495,CRAFT,,TUNABLE
EQ_T5_CLOTH_ARMOR,빙결 유적 로브,5,ARMOR,JOB_MAGE|JOB_CLERIC,CLOTH,810,CRAFT,,TUNABLE
EQ_T5_CLOTH_HELMET,빙결 유적 로브 투구,5,HELMET,JOB_MAGE|JOB_CLERIC,CLOTH,495,CRAFT,,TUNABLE
EQ_T5_POWER_ACCESSORY,빙결 유적 힘의 부적,5,ACCESSORY,JOB_WARRIOR|JOB_ARCHER,POWER,405,CRAFT,,TUNABLE
EQ_T5_GUARD_ACCESSORY,빙결 유적 수호 부적,5,ACCESSORY,JOB_GUARDIAN,GUARD,405,CRAFT,,TUNABLE
EQ_T5_WISDOM_ACCESSORY,빙결 유적 지혜의 펜던트,5,ACCESSORY,JOB_MAGE|JOB_CLERIC,WISDOM,405,CRAFT,,TUNABLE
EQ_BOSS_HYDRA_WARRIOR,히드라 송곳니 대검,4,WEAPON,JOB_WARRIOR,SWORD,820,BOSS_CRAFT,RAID_HYDRA,TUNABLE
EQ_BOSS_HYDRA_GUARDIAN,히드라 비늘 수호갑,4,ARMOR,JOB_GUARDIAN,HEAVY,780,BOSS_CRAFT,RAID_HYDRA,TUNABLE
EQ_BOSS_HYDRA_ARCHER,독사의 눈 활,4,WEAPON,JOB_ARCHER,BOW,810,BOSS_CRAFT,RAID_HYDRA,TUNABLE
EQ_BOSS_HYDRA_MAGE,역병 가지 지팡이,4,WEAPON,JOB_MAGE,STAFF,805,BOSS_CRAFT,RAID_HYDRA,TUNABLE
EQ_BOSS_HYDRA_CLERIC,정화의 성배,4,ACCESSORY,JOB_CLERIC,WISDOM,760,BOSS_CRAFT,RAID_HYDRA,TUNABLE
EQ_BOSS_DRAGON_WARRIOR,잿빛 고룡검,5,WEAPON,JOB_WARRIOR,SWORD,1450,BOSS_CRAFT,RAID_DRAGON,TUNABLE
EQ_BOSS_DRAGON_GUARDIAN,잿빛 용린갑,5,ARMOR,JOB_GUARDIAN,HEAVY,1400,BOSS_CRAFT,RAID_DRAGON,TUNABLE
EQ_BOSS_DRAGON_ARCHER,고룡 날개활,5,WEAPON,JOB_ARCHER,BOW,1420,BOSS_CRAFT,RAID_DRAGON,TUNABLE
EQ_BOSS_DRAGON_MAGE,고룡심장 지팡이,5,WEAPON,JOB_MAGE,STAFF,1440,BOSS_CRAFT,RAID_DRAGON,TUNABLE
EQ_BOSS_DRAGON_CLERIC,재의 성휘,5,ACCESSORY,JOB_CLERIC,WISDOM,1380,BOSS_CRAFT,RAID_DRAGON,TUNABLE
