recipe_id,name_ko,facility_id,facility_level,npc_proficiency,output_type,output_id,output_qty,ingredients_json,craft_seconds,quality_roll,status
REC_EQ_T1_POWER_ACCESSORY,개척자의 힘의 부적,FAC_BLACKSMITH,1,NPC_APPRENTICE,EQUIPMENT,EQ_T1_POWER_ACCESSORY,1,"{""MAT_R01_WOLF_FANG"":3,""MAT_R01_SOFTWOOD"":2}",16,1,TUNABLE
REC_EQ_T1_GUARD_ACCESSORY,개척자의 수호 부적,FAC_BLACKSMITH,1,NPC_APPRENTICE,EQUIPMENT,EQ_T1_GUARD_ACCESSORY,1,"{""MAT_R01_BOAR_HIDE"":3,""MAT_R01_SOFTWOOD"":2}",16,1,TUNABLE
REC_EQ_T1_WISDOM_ACCESSORY,개척자의 지혜의 펜던트,FAC_BLACKSMITH,1,NPC_APPRENTICE,EQUIPMENT,EQ_T1_WISDOM_ACCESSORY,1,"{""MAT_R01_MEADOW_CRYSTAL"":3,""MAT_R01_SOFTWOOD"":2}",16,1,TUNABLE
REC_EQ_T2_WARRIOR_WEAPON,어둠숲 검,FAC_BLACKSMITH,2,NPC_APPRENTICE,EQUIPMENT,EQ_T2_WARRIOR_WEAPON,1,"{""MAT_R02_DARKWOOD"":5,""MAT_R02_FOREST_CORE"":3}",40,1,TUNABLE
REC_EQ_T2_GUARDIAN_WEAPON,어둠숲 수호 철퇴,FAC_BLACKSMITH,2,NPC_APPRENTICE,EQUIPMENT,EQ_T2_GUARDIAN_WEAPON,1,"{""MAT_R02_DARKWOOD"":5,""MAT_R02_FOREST_CORE"":3}",40,1,TUNABLE
REC_EQ_T2_ARCHER_WEAPON,어둠숲 활,FAC_BLACKSMITH,2,NPC_APPRENTICE,EQUIPMENT,EQ_T2_ARCHER_WEAPON,1,"{""MAT_R02_DARKWOOD"":5,""MAT_R02_FOREST_CORE"":3}",40,1,TUNABLE
REC_EQ_T2_MAGE_WEAPON,어둠숲 지팡이,FAC_BLACKSMITH,2,NPC_APPRENTICE,EQUIPMENT,EQ_T2_MAGE_WEAPON,1,"{""MAT_R02_DARKWOOD"":4,""MAT_R02_OGRE_BONE"":4}",40,1,TUNABLE
REC_EQ_T2_CLERIC_WEAPON,어둠숲 성직 철퇴,FAC_BLACKSMITH,2,NPC_APPRENTICE,EQUIPMENT,EQ_T2_CLERIC_WEAPON,1,"{""MAT_R02_DARKWOOD"":4,""MAT_R02_OGRE_BONE"":4}",40,1,TUNABLE
REC_EQ_T2_HEAVY_ARMOR,어둠숲 중갑,FAC_BLACKSMITH,2,NPC_APPRENTICE,EQUIPMENT,EQ_T2_HEAVY_ARMOR,1,"{""MAT_R02_SPIDER_SILK"":6,""MAT_R02_DARKWOOD"":4}",36,1,TUNABLE
REC_EQ_T2_HEAVY_HELMET,어둠숲 중갑 투구,FAC_BLACKSMITH,2,NPC_APPRENTICE,EQUIPMENT,EQ_T2_HEAVY_HELMET,1,"{""MAT_R02_SPIDER_SILK"":4,""MAT_R02_FOREST_CORE"":2}",28,1,TUNABLE
REC_EQ_T2_LIGHT_ARMOR,어둠숲 경갑,FAC_BLACKSMITH,2,NPC_APPRENTICE,EQUIPMENT,EQ_T2_LIGHT_ARMOR,1,"{""MAT_R02_SPIDER_SILK"":6,""MAT_R02_DARKWOOD"":4}",36,1,TUNABLE
REC_EQ_T2_LIGHT_HELMET,어둠숲 경갑 투구,FAC_BLACKSMITH,2,NPC_APPRENTICE,EQUIPMENT,EQ_T2_LIGHT_HELMET,1,"{""MAT_R02_SPIDER_SILK"":4,""MAT_R02_FOREST_CORE"":2}",28,1,TUNABLE
REC_EQ_T2_CLOTH_ARMOR,어둠숲 로브,FAC_BLACKSMITH,2,NPC_APPRENTICE,EQUIPMENT,EQ_T2_CLOTH_ARMOR,1,"{""MAT_R02_OGRE_BONE"":6,""MAT_R02_DARKWOOD"":4}",36,1,TUNABLE
REC_EQ_T2_CLOTH_HELMET,어둠숲 로브 투구,FAC_BLACKSMITH,2,NPC_APPRENTICE,EQUIPMENT,EQ_T2_CLOTH_HELMET,1,"{""MAT_R02_OGRE_BONE"":4,""MAT_R02_FOREST_CORE"":2}",28,1,TUNABLE
REC_EQ_T2_POWER_ACCESSORY,어둠숲 힘의 부적,FAC_BLACKSMITH,2,NPC_APPRENTICE,EQUIPMENT,EQ_T2_POWER_ACCESSORY,1,"{""MAT_R02_FOREST_CORE"":4,""MAT_R02_DARKWOOD"":3}",32,1,TUNABLE
REC_EQ_T2_GUARD_ACCESSORY,어둠숲 수호 부적,FAC_BLACKSMITH,2,NPC_APPRENTICE,EQUIPMENT,EQ_T2_GUARD_ACCESSORY,1,"{""MAT_R02_SPIDER_SILK"":4,""MAT_R02_DARKWOOD"":3}",32,1,TUNABLE
REC_EQ_T2_WISDOM_ACCESSORY,어둠숲 지혜의 펜던트,FAC_BLACKSMITH,2,NPC_APPRENTICE,EQUIPMENT,EQ_T2_WISDOM_ACCESSORY,1,"{""MAT_R02_OGRE_BONE"":4,""MAT_R02_DARKWOOD"":3}",32,1,TUNABLE
REC_EQ_T3_WARRIOR_WEAPON,철맥 검,FAC_BLACKSMITH,3,NPC_SKILLED,EQUIPMENT,EQ_T3_WARRIOR_WEAPON,1,"{""MAT_R03_IRON_ORE"":6,""MAT_R03_SILVER_ORE"":3}",60,1,TUNABLE
REC_EQ_T3_GUARDIAN_WEAPON,철맥 수호 철퇴,FAC_BLACKSMITH,3,NPC_SKILLED,EQUIPMENT,EQ_T3_GUARDIAN_WEAPON,1,"{""MAT_R03_IRON_ORE"":6,""MAT_R03_SILVER_ORE"":3}",60,1,TUNABLE
REC_EQ_T3_ARCHER_WEAPON,철맥 활,FAC_BLACKSMITH,3,NPC_SKILLED,EQUIPMENT,EQ_T3_ARCHER_WEAPON,1,"{""MAT_R03_IRON_ORE"":6,""MAT_R03_SILVER_ORE"":3}",60,1,TUNABLE
REC_EQ_T3_MAGE_WEAPON,철맥 지팡이,FAC_BLACKSMITH,3,NPC_SKILLED,EQUIPMENT,EQ_T3_MAGE_WEAPON,1,"{""MAT_R03_IRON_ORE"":5,""MAT_R03_ANCIENT_GEAR"":5}",60,1,TUNABLE
REC_EQ_T3_CLERIC_WEAPON,철맥 성직 철퇴,FAC_BLACKSMITH,3,NPC_SKILLED,EQUIPMENT,EQ_T3_CLERIC_WEAPON,1,"{""MAT_R03_IRON_ORE"":5,""MAT_R03_ANCIENT_GEAR"":5}",60,1,TUNABLE
REC_EQ_T3_HEAVY_ARMOR,철맥 중갑,FAC_BLACKSMITH,3,NPC_SKILLED,EQUIPMENT,EQ_T3_HEAVY_ARMOR,1,"{""MAT_R03_GOLEM_FRAGMENT"":7,""MAT_R03_IRON_ORE"":5}",54,1,TUNABLE
REC_EQ_T3_HEAVY_HELMET,철맥 중갑 투구,FAC_BLACKSMITH,3,NPC_SKILLED,EQUIPMENT,EQ_T3_HEAVY_HELMET,1,"{""MAT_R03_GOLEM_FRAGMENT"":5,""MAT_R03_SILVER_ORE"":2}",42,1,TUNABLE
REC_EQ_T3_LIGHT_ARMOR,철맥 경갑,FAC_BLACKSMITH,3,NPC_SKILLED,EQUIPMENT,EQ_T3_LIGHT_ARMOR,1,"{""MAT_R03_GOLEM_FRAGMENT"":7,""MAT_R03_IRON_ORE"":5}",54,1,TUNABLE
REC_EQ_T3_LIGHT_HELMET,철맥 경갑 투구,FAC_BLACKSMITH,3,NPC_SKILLED,EQUIPMENT,EQ_T3_LIGHT_HELMET,1,"{""MAT_R03_GOLEM_FRAGMENT"":5,""MAT_R03_SILVER_ORE"":2}",42,1,TUNABLE
REC_EQ_T3_CLOTH_ARMOR,철맥 로브,FAC_BLACKSMITH,3,NPC_SKILLED,EQUIPMENT,EQ_T3_CLOTH_ARMOR,1,"{""MAT_R03_ANCIENT_GEAR"":7,""MAT_R03_IRON_ORE"":5}",54,1,TUNABLE
REC_EQ_T3_CLOTH_HELMET,철맥 로브 투구,FAC_BLACKSMITH,3,NPC_SKILLED,EQUIPMENT,EQ_T3_CLOTH_HELMET,1,"{""MAT_R03_ANCIENT_GEAR"":5,""MAT_R03_SILVER_ORE"":2}",42,1,TUNABLE
REC_EQ_T3_POWER_ACCESSORY,철맥 힘의 부적,FAC_BLACKSMITH,3,NPC_SKILLED,EQUIPMENT,EQ_T3_POWER_ACCESSORY,1,"{""MAT_R03_SILVER_ORE"":5,""MAT_R03_IRON_ORE"":4}",48,1,TUNABLE
REC_EQ_T3_GUARD_ACCESSORY,철맥 수호 부적,FAC_BLACKSMITH,3,NPC_SKILLED,EQUIPMENT,EQ_T3_GUARD_ACCESSORY,1,"{""MAT_R03_GOLEM_FRAGMENT"":5,""MAT_R03_IRON_ORE"":4}",48,1,TUNABLE
REC_EQ_T3_WISDOM_ACCESSORY,철맥 지혜의 펜던트,FAC_BLACKSMITH,3,NPC_SKILLED,EQUIPMENT,EQ_T3_WISDOM_ACCESSORY,1,"{""MAT_R03_ANCIENT_GEAR"":5,""MAT_R03_IRON_ORE"":4}",48,1,TUNABLE
REC_EQ_T4_WARRIOR_WEAPON,독안개 검,FAC_BLACKSMITH,4,NPC_ARTISAN,EQUIPMENT,EQ_T4_WARRIOR_WEAPON,1,"{""MAT_R04_BOG_CRYSTAL"":7,""MAT_R04_TOXIC_GLAND"":4}",80,1,TUNABLE
REC_EQ_T4_GUARDIAN_WEAPON,독안개 수호 철퇴,FAC_BLACKSMITH,4,NPC_ARTISAN,EQUIPMENT,EQ_T4_GUARDIAN_WEAPON,1,"{""MAT_R04_BOG_CRYSTAL"":7,""MAT_R04_TOXIC_GLAND"":4}",80,1,TUNABLE
REC_EQ_T4_ARCHER_WEAPON,독안개 활,FAC_BLACKSMITH,4,NPC_ARTISAN,EQUIPMENT,EQ_T4_ARCHER_WEAPON,1,"{""MAT_R04_BOG_CRYSTAL"":7,""MAT_R04_TOXIC_GLAND"":4}",80,1,TUNABLE
REC_EQ_T4_MAGE_WEAPON,독안개 지팡이,FAC_BLACKSMITH,4,NPC_ARTISAN,EQUIPMENT,EQ_T4_MAGE_WEAPON,1,"{""MAT_R04_BOG_CRYSTAL"":6,""MAT_R04_WITCHWATER"":6}",80,1,TUNABLE
REC_EQ_T4_CLERIC_WEAPON,독안개 성직 철퇴,FAC_BLACKSMITH,4,NPC_ARTISAN,EQUIPMENT,EQ_T4_CLERIC_WEAPON,1,"{""MAT_R04_BOG_CRYSTAL"":6,""MAT_R04_WITCHWATER"":6}",80,1,TUNABLE
REC_EQ_T4_HEAVY_ARMOR,독안개 중갑,FAC_BLACKSMITH,4,NPC_ARTISAN,EQUIPMENT,EQ_T4_HEAVY_ARMOR,1,"{""MAT_R04_TROLL_HIDE"":8,""MAT_R04_BOG_CRYSTAL"":6}",72,1,TUNABLE
REC_EQ_T4_HEAVY_HELMET,독안개 중갑 투구,FAC_BLACKSMITH,4,NPC_ARTISAN,EQUIPMENT,EQ_T4_HEAVY_HELMET,1,"{""MAT_R04_TROLL_HIDE"":6,""MAT_R04_TOXIC_GLAND"":3}",56,1,TUNABLE
REC_EQ_T4_LIGHT_ARMOR,독안개 경갑,FAC_BLACKSMITH,4,NPC_ARTISAN,EQUIPMENT,EQ_T4_LIGHT_ARMOR,1,"{""MAT_R04_TROLL_HIDE"":8,""MAT_R04_BOG_CRYSTAL"":6}",72,1,TUNABLE
REC_EQ_T4_LIGHT_HELMET,독안개 경갑 투구,FAC_BLACKSMITH,4,NPC_ARTISAN,EQUIPMENT,EQ_T4_LIGHT_HELMET,1,"{""MAT_R04_TROLL_HIDE"":6,""MAT_R04_TOXIC_GLAND"":3}",56,1,TUNABLE
REC_EQ_T4_CLOTH_ARMOR,독안개 로브,FAC_BLACKSMITH,4,NPC_ARTISAN,EQUIPMENT,EQ_T4_CLOTH_ARMOR,1,"{""MAT_R04_WITCHWATER"":8,""MAT_R04_BOG_CRYSTAL"":6}",72,1,TUNABLE
REC_EQ_T4_CLOTH_HELMET,독안개 로브 투구,FAC_BLACKSMITH,4,NPC_ARTISAN,EQUIPMENT,EQ_T4_CLOTH_HELMET,1,"{""MAT_R04_WITCHWATER"":6,""MAT_R04_TOXIC_GLAND"":3}",56,1,TUNABLE
REC_EQ_T4_POWER_ACCESSORY,독안개 힘의 부적,FAC_BLACKSMITH,4,NPC_ARTISAN,EQUIPMENT,EQ_T4_POWER_ACCESSORY,1,"{""MAT_R04_TOXIC_GLAND"":6,""MAT_R04_BOG_CRYSTAL"":5}",64,1,TUNABLE
REC_EQ_T4_GUARD_ACCESSORY,독안개 수호 부적,FAC_BLACKSMITH,4,NPC_ARTISAN,EQUIPMENT,EQ_T4_GUARD_ACCESSORY,1,"{""MAT_R04_TROLL_HIDE"":6,""MAT_R04_BOG_CRYSTAL"":5}",64,1,TUNABLE
REC_EQ_T4_WISDOM_ACCESSORY,독안개 지혜의 펜던트,FAC_BLACKSMITH,4,NPC_ARTISAN,EQUIPMENT,EQ_T4_WISDOM_ACCESSORY,1,"{""MAT_R04_WITCHWATER"":6,""MAT_R04_BOG_CRYSTAL"":5}",64,1,TUNABLE
REC_EQ_T5_WARRIOR_WEAPON,빙결 유적 검,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_T5_WARRIOR_WEAPON,1,"{""MAT_R05_FROST_ORE"":8,""MAT_R05_FROZEN_CORE"":4}",100,1,TUNABLE
REC_EQ_T5_GUARDIAN_WEAPON,빙결 유적 수호 철퇴,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_T5_GUARDIAN_WEAPON,1,"{""MAT_R05_FROST_ORE"":8,""MAT_R05_FROZEN_CORE"":4}",100,1,TUNABLE
REC_EQ_T5_ARCHER_WEAPON,빙결 유적 활,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_T5_ARCHER_WEAPON,1,"{""MAT_R05_FROST_ORE"":8,""MAT_R05_FROZEN_CORE"":4}",100,1,TUNABLE
REC_EQ_T5_MAGE_WEAPON,빙결 유적 지팡이,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_T5_MAGE_WEAPON,1,"{""MAT_R05_FROST_ORE"":7,""MAT_R05_ANCIENT_RUNE"":7}",100,1,TUNABLE
REC_EQ_T5_CLERIC_WEAPON,빙결 유적 성직 철퇴,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_T5_CLERIC_WEAPON,1,"{""MAT_R05_FROST_ORE"":7,""MAT_R05_ANCIENT_RUNE"":7}",100,1,TUNABLE
REC_EQ_T5_HEAVY_ARMOR,빙결 유적 중갑,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_T5_HEAVY_ARMOR,1,"{""MAT_R05_YETI_FUR"":9,""MAT_R05_FROST_ORE"":7}",90,1,TUNABLE
REC_EQ_T5_HEAVY_HELMET,빙결 유적 중갑 투구,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_T5_HEAVY_HELMET,1,"{""MAT_R05_YETI_FUR"":7,""MAT_R05_FROZEN_CORE"":3}",70,1,TUNABLE
REC_EQ_T5_LIGHT_ARMOR,빙결 유적 경갑,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_T5_LIGHT_ARMOR,1,"{""MAT_R05_YETI_FUR"":9,""MAT_R05_FROST_ORE"":7}",90,1,TUNABLE
REC_EQ_T5_LIGHT_HELMET,빙결 유적 경갑 투구,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_T5_LIGHT_HELMET,1,"{""MAT_R05_YETI_FUR"":7,""MAT_R05_FROZEN_CORE"":3}",70,1,TUNABLE
REC_EQ_T5_CLOTH_ARMOR,빙결 유적 로브,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_T5_CLOTH_ARMOR,1,"{""MAT_R05_ANCIENT_RUNE"":9,""MAT_R05_FROST_ORE"":7}",90,1,TUNABLE
REC_EQ_T5_CLOTH_HELMET,빙결 유적 로브 투구,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_T5_CLOTH_HELMET,1,"{""MAT_R05_ANCIENT_RUNE"":7,""MAT_R05_FROZEN_CORE"":3}",70,1,TUNABLE
REC_EQ_T5_POWER_ACCESSORY,빙결 유적 힘의 부적,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_T5_POWER_ACCESSORY,1,"{""MAT_R05_FROZEN_CORE"":7,""MAT_R05_FROST_ORE"":6}",80,1,TUNABLE
REC_EQ_T5_GUARD_ACCESSORY,빙결 유적 수호 부적,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_T5_GUARD_ACCESSORY,1,"{""MAT_R05_YETI_FUR"":7,""MAT_R05_FROST_ORE"":6}",80,1,TUNABLE
REC_EQ_T5_WISDOM_ACCESSORY,빙결 유적 지혜의 펜던트,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_T5_WISDOM_ACCESSORY,1,"{""MAT_R05_ANCIENT_RUNE"":7,""MAT_R05_FROST_ORE"":6}",80,1,TUNABLE
REC_EQ_BOSS_HYDRA_WARRIOR,히드라 송곳니 대검,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_BOSS_HYDRA_WARRIOR,1,"{""MAT_BOSS_HYDRA_FANG"":3,""MAT_BOSS_HYDRA_HEART"":1,""MAT_R04_BOG_CRYSTAL"":5}",240,1,TUNABLE
REC_EQ_BOSS_HYDRA_GUARDIAN,히드라 비늘 수호갑,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_BOSS_HYDRA_GUARDIAN,1,"{""MAT_BOSS_HYDRA_SCALE"":5,""MAT_R04_TROLL_HIDE"":5}",240,1,TUNABLE
REC_EQ_BOSS_HYDRA_ARCHER,독사의 눈 활,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_BOSS_HYDRA_ARCHER,1,"{""MAT_BOSS_HYDRA_FANG"":2,""MAT_BOSS_HYDRA_VENOM"":3,""MAT_R04_BOG_CRYSTAL"":4}",240,1,TUNABLE
REC_EQ_BOSS_HYDRA_MAGE,역병 가지 지팡이,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_BOSS_HYDRA_MAGE,1,"{""MAT_BOSS_HYDRA_HEART"":1,""MAT_BOSS_HYDRA_VENOM"":3,""MAT_R04_WITCHWATER"":5}",240,1,TUNABLE
REC_EQ_BOSS_HYDRA_CLERIC,정화의 성배,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_BOSS_HYDRA_CLERIC,1,"{""MAT_BOSS_HYDRA_HEART"":1,""MAT_R04_WITCHWATER"":6}",240,1,TUNABLE
REC_EQ_BOSS_DRAGON_WARRIOR,잿빛 고룡검,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_BOSS_DRAGON_WARRIOR,1,"{""MAT_BOSS_DRAGON_HORN"":3,""MAT_BOSS_DRAGON_HEART"":1,""MAT_BOSS_ASH_CORE"":3}",420,1,TUNABLE
REC_EQ_BOSS_DRAGON_GUARDIAN,잿빛 용린갑,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_BOSS_DRAGON_GUARDIAN,1,"{""MAT_BOSS_DRAGON_SCALE"":6,""MAT_BOSS_ASH_CORE"":3}",420,1,TUNABLE
REC_EQ_BOSS_DRAGON_ARCHER,고룡 날개활,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_BOSS_DRAGON_ARCHER,1,"{""MAT_BOSS_DRAGON_HORN"":2,""MAT_BOSS_ASH_CORE"":4,""MAT_R05_ANCIENT_RUNE"":5}",420,1,TUNABLE
REC_EQ_BOSS_DRAGON_MAGE,고룡심장 지팡이,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_BOSS_DRAGON_MAGE,1,"{""MAT_BOSS_DRAGON_HEART"":1,""MAT_BOSS_ASH_CORE"":4,""MAT_R05_FROZEN_CORE"":5}",420,1,TUNABLE
REC_EQ_BOSS_DRAGON_CLERIC,재의 성휘,FAC_BLACKSMITH,4,NPC_MASTER,EQUIPMENT,EQ_BOSS_DRAGON_CLERIC,1,"{""MAT_BOSS_DRAGON_HEART"":1,""MAT_BOSS_DRAGON_SCALE"":3,""MAT_R05_ANCIENT_RUNE"":5}",420,1,TUNABLE
REC_POT_HEAL_SMALL,하급 회복 포션,FAC_ALCHEMY,1,NPC_APPRENTICE,POTION,POT_HEAL_SMALL,1,"{""MAT_R01_WILD_HERB"":2,""MAT_R01_SLIME_GEL"":1}",12,0,TUNABLE
REC_POT_HEAL_MEDIUM,중급 회복 포션,FAC_ALCHEMY,2,NPC_SKILLED,POTION,POT_HEAL_MEDIUM,1,"{""MAT_R02_MOONLEAF"":2,""MAT_R02_SPIDER_SILK"":1,""MAT_R01_SLIME_GEL"":1}",24,0,TUNABLE
REC_POT_HEAL_LARGE,상급 회복 포션,FAC_ALCHEMY,3,NPC_ARTISAN,POTION,POT_HEAL_LARGE,1,"{""MAT_R04_MIASMA_MOSS"":2,""MAT_R04_WITCHWATER"":1,""MAT_R03_BAT_WING"":1}",45,0,TUNABLE
REC_POT_ANTIDOTE,해독제,FAC_ALCHEMY,2,NPC_SKILLED,POTION,POT_ANTIDOTE,1,"{""MAT_R02_MOONLEAF"":1,""MAT_R02_VENOM_SAC"":1}",20,0,TUNABLE
REC_POT_POISON_RESIST,독 저항약,FAC_ALCHEMY,3,NPC_ARTISAN,POTION,POT_POISON_RESIST,1,"{""MAT_R04_MIASMA_MOSS"":2,""MAT_R04_TOXIC_GLAND"":1}",50,0,TUNABLE
REC_POT_FROST_RESIST,빙결 저항약,FAC_ALCHEMY,4,NPC_MASTER,POTION,POT_FROST_RESIST,1,"{""MAT_R05_ICE_BLOOM"":2,""MAT_R05_WRAITH_DUST"":1}",70,0,TUNABLE
REC_POT_RAID_POWER,레이드 전투약,FAC_ALCHEMY,4,NPC_MASTER,POTION,POT_RAID_POWER,1,"{""MAT_BOSS_ASH_CORE"":1,""MAT_R05_ANCIENT_RUNE"":2}",120,0,TUNABLE
