item_id,name_ko,category,tier,source_region,base_value,rarity,primary_uses,stack_limit,status
MAT_R04_SWAMP_REED,늪지 갈대,ALCHEMY,4,REGION_R04,55,COMMON,POTION|CRAFT,9999,TUNABLE
MAT_R04_TOXIC_GLAND,맹독선,MONSTER,4,REGION_R04,72,RARE,POTION|REFINE,9999,TUNABLE
MAT_R04_MIASMA_MOSS,독안개 이끼,ALCHEMY,4,REGION_R04,64,COMMON,POTION,9999,TUNABLE
MAT_R04_WITCHWATER,마녀수,MAGIC,4,REGION_R04,88,RARE,POTION|ACCESSORY,9999,TUNABLE
MAT_R04_BOG_CRYSTAL,늪 결정,MAGIC,4,REGION_R04,95,RARE,EQUIPMENT|REFINE,9999,TUNABLE
MAT_R04_TROLL_HIDE,늪 트롤 가죽,CRAFT,4,REGION_R04,84,RARE,ARMOR,9999,TUNABLE
MAT_R05_FROST_ORE,서리 광석,ORE,5,REGION_R05,110,RARE,EQUIPMENT|ENHANCE,9999,TUNABLE
MAT_R05_ICE_BLOOM,얼음꽃,ALCHEMY,5,REGION_R05,105,RARE,POTION,9999,TUNABLE
MAT_R05_WRAITH_DUST,망령 가루,MAGIC,5,REGION_R05,125,RARE,ACCESSORY|REFINE,9999,TUNABLE
MAT_R05_YETI_FUR,설인 모피,CRAFT,5,REGION_R05,120,RARE,ARMOR,9999,TUNABLE
MAT_R05_ANCIENT_RUNE,고대 룬,RELIC,5,REGION_R05,155,RARE,EQUIPMENT|PROMOTION,9999,TUNABLE
MAT_R05_FROZEN_CORE,빙결 핵,MAGIC,5,REGION_R05,170,RARE,EQUIPMENT|REFINE,9999,TUNABLE
MAT_BOSS_HYDRA_SCALE,히드라 비늘,BOSS,4,RAID_HYDRA,220,EPIC,BOSS_EQUIPMENT|REFINE,9999,TUNABLE
MAT_BOSS_HYDRA_HEART,히드라 심장,BOSS,4,RAID_HYDRA,360,EPIC,BOSS_EQUIPMENT|PROMOTION,9999,TUNABLE
MAT_BOSS_HYDRA_VENOM,원초 독액,BOSS,4,RAID_HYDRA,280,EPIC,POTION|REFINE,9999,TUNABLE
MAT_BOSS_HYDRA_FANG,히드라 송곳니,BOSS,4,RAID_HYDRA,260,EPIC,BOSS_WEAPON,9999,TUNABLE
MAT_BOSS_DRAGON_HORN,고룡의 뿔,BOSS,5,RAID_DRAGON,600,RELIC,BOSS_WEAPON,9999,TUNABLE
MAT_BOSS_DRAGON_SCALE,잿빛 용비늘,BOSS,5,RAID_DRAGON,580,RELIC,BOSS_ARMOR,9999,TUNABLE
MAT_BOSS_DRAGON_HEART,고룡의 심장,BOSS,5,RAID_DRAGON,900,RELIC,BOSS_EQUIPMENT|PROMOTION,9999,TUNABLE
MAT_BOSS_ASH_CORE,잿불 핵,BOSS,5,RAID_DRAGON,650,RELIC,BOSS_EQUIPMENT|REFINE,9999,TUNABLE
MAT_ENHANCE_1,하급 강화석,ENHANCE,1,DISMANTLE,15,COMMON,ENHANCE,9999,TUNABLE
MAT_ENHANCE_2,중급 강화석,ENHANCE,2,DISMANTLE,45,COMMON,ENHANCE,9999,TUNABLE
MAT_ENHANCE_3,상급 강화석,ENHANCE,3,DISMANTLE,120,RARE,ENHANCE,9999,TUNABLE
MAT_ENHANCE_4,최상급 강화석,ENHANCE,4,DISMANTLE,300,RARE,ENHANCE,9999,TUNABLE
MAT_REFINE_STABILIZER,제련 안정제,REFINE,4,ELITE_AND_RAID,180,EPIC,REFINE,9999,TUNABLE
MAT_PROMO_BRONZE_EMBLEM,청동 승급 문장,PROMOTION,5,PROMOTION_CONTENT,50,COMMON,PROMOTION,9999,TUNABLE
MAT_PROMO_SILVER_BADGE,은빛 승급패,PROMOTION,5,PROMOTION_CONTENT,140,RARE,PROMOTION,9999,TUNABLE
MAT_PROMO_ELITE_SIGIL,정예의 인장,PROMOTION,5,PROMOTION_CONTENT,320,EPIC,PROMOTION,9999,TUNABLE
MAT_PROMO_HERO_CREST,영웅의 증표,PROMOTION,5,PROMOTION_CONTENT,700,EPIC,PROMOTION,9999,TUNABLE
MAT_PROMO_LEGEND_CREST,전설의 증표,PROMOTION,5,PROMOTION_CONTENT,1500,RELIC,PROMOTION,9999,TUNABLE
MAT_PROMO_RARE_CORE,희귀 핵,PROMOTION,5,PROMOTION_CONTENT,600,EPIC,PROMOTION,9999,TUNABLE
MAT_PROMO_AWAKENING_STONE,각성석,PROMOTION,5,PROMOTION_CONTENT,900,EPIC,PROMOTION,9999,TUNABLE
MAT_PROMO_STAR_SIGIL,별의 인장,PROMOTION,5,PROMOTION_CONTENT,1800,RELIC,PROMOTION,9999,TUNABLE
MAT_PROMO_ANCIENT_AWAKENING,고대 각성석,PROMOTION,5,PROMOTION_CONTENT,2200,RELIC,PROMOTION,9999,TUNABLE
MAT_PROMO_FATE_CHALICE,운명의 성배,PROMOTION,5,PROMOTION_CONTENT,4000,RELIC,PROMOTION,9999,TUNABLE
