equipment_template_id,job_id,status,enabled
EQ_T3_HEAVY_HELMET,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T3_HEAVY_HELMET,JOB_WARRIOR,TUNABLE,TRUE
EQ_T3_LIGHT_ARMOR,JOB_ARCHER,TUNABLE,TRUE
EQ_T3_LIGHT_HELMET,JOB_ARCHER,TUNABLE,TRUE
EQ_T3_CLOTH_ARMOR,JOB_CLERIC,TUNABLE,TRUE
EQ_T3_CLOTH_ARMOR,JOB_MAGE,TUNABLE,TRUE
EQ_T3_CLOTH_HELMET,JOB_CLERIC,TUNABLE,TRUE
EQ_T3_CLOTH_HELMET,JOB_MAGE,TUNABLE,TRUE
EQ_T3_POWER_ACCESSORY,JOB_ARCHER,TUNABLE,TRUE
EQ_T3_POWER_ACCESSORY,JOB_WARRIOR,TUNABLE,TRUE
EQ_T3_GUARD_ACCESSORY,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T3_WISDOM_ACCESSORY,JOB_CLERIC,TUNABLE,TRUE
EQ_T3_WISDOM_ACCESSORY,JOB_MAGE,TUNABLE,TRUE
EQ_T4_WARRIOR_WEAPON,JOB_WARRIOR,TUNABLE,TRUE
EQ_T4_GUARDIAN_WEAPON,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T4_ARCHER_WEAPON,JOB_ARCHER,TUNABLE,TRUE
EQ_T4_MAGE_WEAPON,JOB_MAGE,TUNABLE,TRUE
EQ_T4_CLERIC_WEAPON,JOB_CLERIC,TUNABLE,TRUE
EQ_T4_HEAVY_ARMOR,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T4_HEAVY_ARMOR,JOB_WARRIOR,TUNABLE,TRUE
EQ_T4_HEAVY_HELMET,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T4_HEAVY_HELMET,JOB_WARRIOR,TUNABLE,TRUE
EQ_T4_LIGHT_ARMOR,JOB_ARCHER,TUNABLE,TRUE
EQ_T4_LIGHT_HELMET,JOB_ARCHER,TUNABLE,TRUE
EQ_T4_CLOTH_ARMOR,JOB_CLERIC,TUNABLE,TRUE
EQ_T4_CLOTH_ARMOR,JOB_MAGE,TUNABLE,TRUE
EQ_T4_CLOTH_HELMET,JOB_CLERIC,TUNABLE,TRUE
EQ_T4_CLOTH_HELMET,JOB_MAGE,TUNABLE,TRUE
EQ_T4_POWER_ACCESSORY,JOB_ARCHER,TUNABLE,TRUE
EQ_T4_POWER_ACCESSORY,JOB_WARRIOR,TUNABLE,TRUE
EQ_T4_GUARD_ACCESSORY,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T4_WISDOM_ACCESSORY,JOB_CLERIC,TUNABLE,TRUE
EQ_T4_WISDOM_ACCESSORY,JOB_MAGE,TUNABLE,TRUE
EQ_T5_WARRIOR_WEAPON,JOB_WARRIOR,TUNABLE,TRUE
EQ_T5_GUARDIAN_WEAPON,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T5_ARCHER_WEAPON,JOB_ARCHER,TUNABLE,TRUE
EQ_T5_MAGE_WEAPON,JOB_MAGE,TUNABLE,TRUE
EQ_T5_CLERIC_WEAPON,JOB_CLERIC,TUNABLE,TRUE
EQ_T5_HEAVY_ARMOR,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T5_HEAVY_ARMOR,JOB_WARRIOR,TUNABLE,TRUE
EQ_T5_HEAVY_HELMET,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T5_HEAVY_HELMET,JOB_WARRIOR,TUNABLE,TRUE
EQ_T5_LIGHT_ARMOR,JOB_ARCHER,TUNABLE,TRUE
EQ_T5_LIGHT_HELMET,JOB_ARCHER,TUNABLE,TRUE
EQ_T5_CLOTH_ARMOR,JOB_CLERIC,TUNABLE,TRUE
EQ_T5_CLOTH_ARMOR,JOB_MAGE,TUNABLE,TRUE
EQ_T5_CLOTH_HELMET,JOB_CLERIC,TUNABLE,TRUE
EQ_T5_CLOTH_HELMET,JOB_MAGE,TUNABLE,TRUE
EQ_T5_POWER_ACCESSORY,JOB_ARCHER,TUNABLE,TRUE
EQ_T5_POWER_ACCESSORY,JOB_WARRIOR,TUNABLE,TRUE
EQ_T5_GUARD_ACCESSORY,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T5_WISDOM_ACCESSORY,JOB_CLERIC,TUNABLE,TRUE
EQ_T5_WISDOM_ACCESSORY,JOB_MAGE,TUNABLE,TRUE
EQ_BOSS_HYDRA_WARRIOR,JOB_WARRIOR,TUNABLE,TRUE
EQ_BOSS_HYDRA_GUARDIAN,JOB_GUARDIAN,TUNABLE,TRUE
EQ_BOSS_HYDRA_ARCHER,JOB_ARCHER,TUNABLE,TRUE
EQ_BOSS_HYDRA_MAGE,JOB_MAGE,TUNABLE,TRUE
EQ_BOSS_HYDRA_CLERIC,JOB_CLERIC,TUNABLE,TRUE
EQ_BOSS_DRAGON_WARRIOR,JOB_WARRIOR,TUNABLE,TRUE
EQ_BOSS_DRAGON_GUARDIAN,JOB_GUARDIAN,TUNABLE,TRUE
EQ_BOSS_DRAGON_ARCHER,JOB_ARCHER,TUNABLE,TRUE
EQ_BOSS_DRAGON_MAGE,JOB_MAGE,TUNABLE,TRUE
EQ_BOSS_DRAGON_CLERIC,JOB_CLERIC,TUNABLE,TRUE
