loot_table_id,entry_no,reward_type,reward_id,probability,weight,min_quantity,max_quantity,condition_id,status,enabled
LOOT_R04_ELITE,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T4_ANY,0.18,,1,1,,TUNABLE,TRUE
LOOT_R05_1,1,ITEM,MAT_R05_FROST_ORE,0.75,,1,2,,TUNABLE,TRUE
LOOT_R05_1,2,ITEM,MAT_R05_WRAITH_DUST,0.22,,1,1,,TUNABLE,TRUE
LOOT_R05_1,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T5_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R05_2,1,ITEM,MAT_R05_ICE_BLOOM,0.75,,1,2,,TUNABLE,TRUE
LOOT_R05_2,2,ITEM,MAT_R05_YETI_FUR,0.22,,1,1,,TUNABLE,TRUE
LOOT_R05_2,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T5_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R05_3,1,ITEM,MAT_R05_WRAITH_DUST,0.75,,1,2,,TUNABLE,TRUE
LOOT_R05_3,2,ITEM,MAT_R05_ANCIENT_RUNE,0.22,,1,1,,TUNABLE,TRUE
LOOT_R05_3,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T5_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R05_4,1,ITEM,MAT_R05_YETI_FUR,0.75,,1,2,,TUNABLE,TRUE
LOOT_R05_4,2,ITEM,MAT_R05_FROZEN_CORE,0.22,,1,1,,TUNABLE,TRUE
LOOT_R05_4,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T5_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R05_ELITE,1,ITEM,MAT_R05_ANCIENT_RUNE,1.0,,2,4,,TUNABLE,TRUE
LOOT_R05_ELITE,2,ITEM,MAT_R05_FROZEN_CORE,0.65,,1,2,,TUNABLE,TRUE
LOOT_R05_ELITE,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T5_ANY,0.18,,1,1,,TUNABLE,TRUE
LOOT_RAID_HYDRA,1,ITEM,MAT_BOSS_HYDRA_SCALE,1,,2,4,COND_HYDRA_BODY_BREAK,TUNABLE,TRUE
LOOT_RAID_HYDRA,2,ITEM,MAT_BOSS_HYDRA_HEART,0.55,,1,1,COND_HYDRA_HEART_EXPOSED,TUNABLE,TRUE
LOOT_RAID_HYDRA,3,ITEM,MAT_BOSS_HYDRA_VENOM,0.9,,1,3,COND_HYDRA_HEAD_BREAK,TUNABLE,TRUE
LOOT_RAID_HYDRA,4,ITEM,MAT_BOSS_HYDRA_FANG,0.65,,1,2,COND_HYDRA_HEAD_BREAK,TUNABLE,TRUE
LOOT_RAID_HYDRA,5,ITEM,MAT_PROMO_HERO_CREST,0.5,,1,1,COND_RAID_HYDRA_CLEAR,TUNABLE,TRUE
LOOT_RAID_DRAGON,1,ITEM,MAT_BOSS_DRAGON_HORN,0.75,,1,2,COND_DRAGON_HORN_BREAK,TUNABLE,TRUE
LOOT_RAID_DRAGON,2,ITEM,MAT_BOSS_DRAGON_SCALE,1,,2,5,COND_DRAGON_BODY_BREAK,TUNABLE,TRUE
LOOT_RAID_DRAGON,3,ITEM,MAT_BOSS_DRAGON_HEART,0.45,,1,1,COND_DRAGON_HEART_EXPOSED,TUNABLE,TRUE
LOOT_RAID_DRAGON,4,ITEM,MAT_BOSS_ASH_CORE,0.8,,1,3,COND_DRAGON_WING_BREAK,TUNABLE,TRUE
LOOT_RAID_DRAGON,5,ITEM,MAT_PROMO_LEGEND_CREST,0.65,,1,1,COND_RAID_DRAGON_CLEAR,TUNABLE,TRUE
