recipe_id,output_no,reward_type,reward_id,quantity,status,enabled
REC_EQ_T4_LIGHT_ARMOR,1,EQUIPMENT_TEMPLATE,EQ_T4_LIGHT_ARMOR,1,TUNABLE,TRUE
REC_EQ_T4_LIGHT_HELMET,1,EQUIPMENT_TEMPLATE,EQ_T4_LIGHT_HELMET,1,TUNABLE,TRUE
REC_EQ_T4_CLOTH_ARMOR,1,EQUIPMENT_TEMPLATE,EQ_T4_CLOTH_ARMOR,1,TUNABLE,TRUE
REC_EQ_T4_CLOTH_HELMET,1,EQUIPMENT_TEMPLATE,EQ_T4_CLOTH_HELMET,1,TUNABLE,TRUE
REC_EQ_T4_POWER_ACCESSORY,1,EQUIPMENT_TEMPLATE,EQ_T4_POWER_ACCESSORY,1,TUNABLE,TRUE
REC_EQ_T4_GUARD_ACCESSORY,1,EQUIPMENT_TEMPLATE,EQ_T4_GUARD_ACCESSORY,1,TUNABLE,TRUE
REC_EQ_T4_WISDOM_ACCESSORY,1,EQUIPMENT_TEMPLATE,EQ_T4_WISDOM_ACCESSORY,1,TUNABLE,TRUE
REC_EQ_T5_WARRIOR_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T5_WARRIOR_WEAPON,1,TUNABLE,TRUE
REC_EQ_T5_GUARDIAN_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T5_GUARDIAN_WEAPON,1,TUNABLE,TRUE
REC_EQ_T5_ARCHER_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T5_ARCHER_WEAPON,1,TUNABLE,TRUE
REC_EQ_T5_MAGE_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T5_MAGE_WEAPON,1,TUNABLE,TRUE
REC_EQ_T5_CLERIC_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T5_CLERIC_WEAPON,1,TUNABLE,TRUE
REC_EQ_T5_HEAVY_ARMOR,1,EQUIPMENT_TEMPLATE,EQ_T5_HEAVY_ARMOR,1,TUNABLE,TRUE
REC_EQ_T5_HEAVY_HELMET,1,EQUIPMENT_TEMPLATE,EQ_T5_HEAVY_HELMET,1,TUNABLE,TRUE
REC_EQ_T5_LIGHT_ARMOR,1,EQUIPMENT_TEMPLATE,EQ_T5_LIGHT_ARMOR,1,TUNABLE,TRUE
REC_EQ_T5_LIGHT_HELMET,1,EQUIPMENT_TEMPLATE,EQ_T5_LIGHT_HELMET,1,TUNABLE,TRUE
REC_EQ_T5_CLOTH_ARMOR,1,EQUIPMENT_TEMPLATE,EQ_T5_CLOTH_ARMOR,1,TUNABLE,TRUE
REC_EQ_T5_CLOTH_HELMET,1,EQUIPMENT_TEMPLATE,EQ_T5_CLOTH_HELMET,1,TUNABLE,TRUE
REC_EQ_T5_POWER_ACCESSORY,1,EQUIPMENT_TEMPLATE,EQ_T5_POWER_ACCESSORY,1,TUNABLE,TRUE
REC_EQ_T5_GUARD_ACCESSORY,1,EQUIPMENT_TEMPLATE,EQ_T5_GUARD_ACCESSORY,1,TUNABLE,TRUE
REC_EQ_T5_WISDOM_ACCESSORY,1,EQUIPMENT_TEMPLATE,EQ_T5_WISDOM_ACCESSORY,1,TUNABLE,TRUE
REC_EQ_BOSS_HYDRA_WARRIOR,1,EQUIPMENT_TEMPLATE,EQ_BOSS_HYDRA_WARRIOR,1,TUNABLE,TRUE
REC_EQ_BOSS_HYDRA_GUARDIAN,1,EQUIPMENT_TEMPLATE,EQ_BOSS_HYDRA_GUARDIAN,1,TUNABLE,TRUE
REC_EQ_BOSS_HYDRA_ARCHER,1,EQUIPMENT_TEMPLATE,EQ_BOSS_HYDRA_ARCHER,1,TUNABLE,TRUE
REC_EQ_BOSS_HYDRA_MAGE,1,EQUIPMENT_TEMPLATE,EQ_BOSS_HYDRA_MAGE,1,TUNABLE,TRUE
REC_EQ_BOSS_HYDRA_CLERIC,1,EQUIPMENT_TEMPLATE,EQ_BOSS_HYDRA_CLERIC,1,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_WARRIOR,1,EQUIPMENT_TEMPLATE,EQ_BOSS_DRAGON_WARRIOR,1,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_GUARDIAN,1,EQUIPMENT_TEMPLATE,EQ_BOSS_DRAGON_GUARDIAN,1,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_ARCHER,1,EQUIPMENT_TEMPLATE,EQ_BOSS_DRAGON_ARCHER,1,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_MAGE,1,EQUIPMENT_TEMPLATE,EQ_BOSS_DRAGON_MAGE,1,TUNABLE,TRUE
REC_EQ_BOSS_DRAGON_CLERIC,1,EQUIPMENT_TEMPLATE,EQ_BOSS_DRAGON_CLERIC,1,TUNABLE,TRUE
REC_POT_HEAL_SMALL,1,POTION,POT_HEAL_SMALL,1,TUNABLE,TRUE
REC_POT_HEAL_MEDIUM,1,POTION,POT_HEAL_MEDIUM,1,TUNABLE,TRUE
REC_POT_HEAL_LARGE,1,POTION,POT_HEAL_LARGE,1,TUNABLE,TRUE
REC_POT_ANTIDOTE,1,POTION,POT_ANTIDOTE,1,TUNABLE,TRUE
REC_POT_POISON_RESIST,1,POTION,POT_POISON_RESIST,1,TUNABLE,TRUE
REC_POT_FROST_RESIST,1,POTION,POT_FROST_RESIST,1,TUNABLE,TRUE
REC_POT_RAID_POWER,1,POTION,POT_RAID_POWER,1,TUNABLE,TRUE
