equipment_template_id,name_text_key,tier,slot,profile,base_power,source,boss_id,status,enabled
EQ_T2_MAGE_WEAPON,TXT_EQ_T2_MAGE_WEAPON_NAME,2,WEAPON,STAFF,180,CRAFT,,TUNABLE,TRUE
EQ_T2_CLERIC_WEAPON,TXT_EQ_T2_CLERIC_WEAPON_NAME,2,WEAPON,MACE,180,CRAFT,,TUNABLE,TRUE
EQ_T2_HEAVY_ARMOR,TXT_EQ_T2_HEAVY_ARMOR_NAME,2,ARMOR,HEAVY,162,CRAFT,,TUNABLE,TRUE
EQ_T2_HEAVY_HELMET,TXT_EQ_T2_HEAVY_HELMET_NAME,2,HELMET,HEAVY,99,CRAFT,,TUNABLE,TRUE
EQ_T2_LIGHT_ARMOR,TXT_EQ_T2_LIGHT_ARMOR_NAME,2,ARMOR,LIGHT,162,CRAFT,,TUNABLE,TRUE
EQ_T2_LIGHT_HELMET,TXT_EQ_T2_LIGHT_HELMET_NAME,2,HELMET,LIGHT,99,CRAFT,,TUNABLE,TRUE
EQ_T2_CLOTH_ARMOR,TXT_EQ_T2_CLOTH_ARMOR_NAME,2,ARMOR,CLOTH,162,CRAFT,,TUNABLE,TRUE
EQ_T2_CLOTH_HELMET,TXT_EQ_T2_CLOTH_HELMET_NAME,2,HELMET,CLOTH,99,CRAFT,,TUNABLE,TRUE
EQ_T2_POWER_ACCESSORY,TXT_EQ_T2_POWER_ACCESSORY_NAME,2,ACCESSORY,POWER,81,CRAFT,,TUNABLE,TRUE
EQ_T2_GUARD_ACCESSORY,TXT_EQ_T2_GUARD_ACCESSORY_NAME,2,ACCESSORY,GUARD,81,CRAFT,,TUNABLE,TRUE
EQ_T2_WISDOM_ACCESSORY,TXT_EQ_T2_WISDOM_ACCESSORY_NAME,2,ACCESSORY,WISDOM,81,CRAFT,,TUNABLE,TRUE
EQ_T3_WARRIOR_WEAPON,TXT_EQ_T3_WARRIOR_WEAPON_NAME,3,WEAPON,SWORD,320,CRAFT,,TUNABLE,TRUE
EQ_T3_GUARDIAN_WEAPON,TXT_EQ_T3_GUARDIAN_WEAPON_NAME,3,WEAPON,HAMMER_SHIELD,320,CRAFT,,TUNABLE,TRUE
EQ_T3_ARCHER_WEAPON,TXT_EQ_T3_ARCHER_WEAPON_NAME,3,WEAPON,BOW,320,CRAFT,,TUNABLE,TRUE
EQ_T3_MAGE_WEAPON,TXT_EQ_T3_MAGE_WEAPON_NAME,3,WEAPON,STAFF,320,CRAFT,,TUNABLE,TRUE
EQ_T3_CLERIC_WEAPON,TXT_EQ_T3_CLERIC_WEAPON_NAME,3,WEAPON,MACE,320,CRAFT,,TUNABLE,TRUE
EQ_T3_HEAVY_ARMOR,TXT_EQ_T3_HEAVY_ARMOR_NAME,3,ARMOR,HEAVY,288,CRAFT,,TUNABLE,TRUE
EQ_T3_HEAVY_HELMET,TXT_EQ_T3_HEAVY_HELMET_NAME,3,HELMET,HEAVY,176,CRAFT,,TUNABLE,TRUE
EQ_T3_LIGHT_ARMOR,TXT_EQ_T3_LIGHT_ARMOR_NAME,3,ARMOR,LIGHT,288,CRAFT,,TUNABLE,TRUE
EQ_T3_LIGHT_HELMET,TXT_EQ_T3_LIGHT_HELMET_NAME,3,HELMET,LIGHT,176,CRAFT,,TUNABLE,TRUE
EQ_T3_CLOTH_ARMOR,TXT_EQ_T3_CLOTH_ARMOR_NAME,3,ARMOR,CLOTH,288,CRAFT,,TUNABLE,TRUE
EQ_T3_CLOTH_HELMET,TXT_EQ_T3_CLOTH_HELMET_NAME,3,HELMET,CLOTH,176,CRAFT,,TUNABLE,TRUE
EQ_T3_POWER_ACCESSORY,TXT_EQ_T3_POWER_ACCESSORY_NAME,3,ACCESSORY,POWER,144,CRAFT,,TUNABLE,TRUE
EQ_T3_GUARD_ACCESSORY,TXT_EQ_T3_GUARD_ACCESSORY_NAME,3,ACCESSORY,GUARD,144,CRAFT,,TUNABLE,TRUE
EQ_T3_WISDOM_ACCESSORY,TXT_EQ_T3_WISDOM_ACCESSORY_NAME,3,ACCESSORY,WISDOM,144,CRAFT,,TUNABLE,TRUE
EQ_T4_WARRIOR_WEAPON,TXT_EQ_T4_WARRIOR_WEAPON_NAME,4,WEAPON,SWORD,560,CRAFT,,TUNABLE,TRUE
EQ_T4_GUARDIAN_WEAPON,TXT_EQ_T4_GUARDIAN_WEAPON_NAME,4,WEAPON,HAMMER_SHIELD,560,CRAFT,,TUNABLE,TRUE
EQ_T4_ARCHER_WEAPON,TXT_EQ_T4_ARCHER_WEAPON_NAME,4,WEAPON,BOW,560,CRAFT,,TUNABLE,TRUE
EQ_T4_MAGE_WEAPON,TXT_EQ_T4_MAGE_WEAPON_NAME,4,WEAPON,STAFF,560,CRAFT,,TUNABLE,TRUE
EQ_T4_CLERIC_WEAPON,TXT_EQ_T4_CLERIC_WEAPON_NAME,4,WEAPON,MACE,560,CRAFT,,TUNABLE,TRUE
EQ_T4_HEAVY_ARMOR,TXT_EQ_T4_HEAVY_ARMOR_NAME,4,ARMOR,HEAVY,504,CRAFT,,TUNABLE,TRUE
EQ_T4_HEAVY_HELMET,TXT_EQ_T4_HEAVY_HELMET_NAME,4,HELMET,HEAVY,308,CRAFT,,TUNABLE,TRUE
EQ_T4_LIGHT_ARMOR,TXT_EQ_T4_LIGHT_ARMOR_NAME,4,ARMOR,LIGHT,504,CRAFT,,TUNABLE,TRUE
EQ_T4_LIGHT_HELMET,TXT_EQ_T4_LIGHT_HELMET_NAME,4,HELMET,LIGHT,308,CRAFT,,TUNABLE,TRUE
EQ_T4_CLOTH_ARMOR,TXT_EQ_T4_CLOTH_ARMOR_NAME,4,ARMOR,CLOTH,504,CRAFT,,TUNABLE,TRUE
EQ_T4_CLOTH_HELMET,TXT_EQ_T4_CLOTH_HELMET_NAME,4,HELMET,CLOTH,308,CRAFT,,TUNABLE,TRUE
EQ_T4_POWER_ACCESSORY,TXT_EQ_T4_POWER_ACCESSORY_NAME,4,ACCESSORY,POWER,252,CRAFT,,TUNABLE,TRUE
EQ_T4_GUARD_ACCESSORY,TXT_EQ_T4_GUARD_ACCESSORY_NAME,4,ACCESSORY,GUARD,252,CRAFT,,TUNABLE,TRUE
EQ_T4_WISDOM_ACCESSORY,TXT_EQ_T4_WISDOM_ACCESSORY_NAME,4,ACCESSORY,WISDOM,252,CRAFT,,TUNABLE,TRUE
EQ_T5_WARRIOR_WEAPON,TXT_EQ_T5_WARRIOR_WEAPON_NAME,5,WEAPON,SWORD,900,CRAFT,,TUNABLE,TRUE
EQ_T5_GUARDIAN_WEAPON,TXT_EQ_T5_GUARDIAN_WEAPON_NAME,5,WEAPON,HAMMER_SHIELD,900,CRAFT,,TUNABLE,TRUE
EQ_T5_ARCHER_WEAPON,TXT_EQ_T5_ARCHER_WEAPON_NAME,5,WEAPON,BOW,900,CRAFT,,TUNABLE,TRUE
EQ_T5_MAGE_WEAPON,TXT_EQ_T5_MAGE_WEAPON_NAME,5,WEAPON,STAFF,900,CRAFT,,TUNABLE,TRUE
EQ_T5_CLERIC_WEAPON,TXT_EQ_T5_CLERIC_WEAPON_NAME,5,WEAPON,MACE,900,CRAFT,,TUNABLE,TRUE
EQ_T5_HEAVY_ARMOR,TXT_EQ_T5_HEAVY_ARMOR_NAME,5,ARMOR,HEAVY,810,CRAFT,,TUNABLE,TRUE
EQ_T5_HEAVY_HELMET,TXT_EQ_T5_HEAVY_HELMET_NAME,5,HELMET,HEAVY,495,CRAFT,,TUNABLE,TRUE
EQ_T5_LIGHT_ARMOR,TXT_EQ_T5_LIGHT_ARMOR_NAME,5,ARMOR,LIGHT,810,CRAFT,,TUNABLE,TRUE
EQ_T5_LIGHT_HELMET,TXT_EQ_T5_LIGHT_HELMET_NAME,5,HELMET,LIGHT,495,CRAFT,,TUNABLE,TRUE
EQ_T5_CLOTH_ARMOR,TXT_EQ_T5_CLOTH_ARMOR_NAME,5,ARMOR,CLOTH,810,CRAFT,,TUNABLE,TRUE
EQ_T5_CLOTH_HELMET,TXT_EQ_T5_CLOTH_HELMET_NAME,5,HELMET,CLOTH,495,CRAFT,,TUNABLE,TRUE
EQ_T5_POWER_ACCESSORY,TXT_EQ_T5_POWER_ACCESSORY_NAME,5,ACCESSORY,POWER,405,CRAFT,,TUNABLE,TRUE
EQ_T5_GUARD_ACCESSORY,TXT_EQ_T5_GUARD_ACCESSORY_NAME,5,ACCESSORY,GUARD,405,CRAFT,,TUNABLE,TRUE
EQ_T5_WISDOM_ACCESSORY,TXT_EQ_T5_WISDOM_ACCESSORY_NAME,5,ACCESSORY,WISDOM,405,CRAFT,,TUNABLE,TRUE
EQ_BOSS_HYDRA_WARRIOR,TXT_EQ_BOSS_HYDRA_WARRIOR_NAME,4,WEAPON,SWORD,820,BOSS,RAID_HYDRA,TUNABLE,TRUE
EQ_BOSS_HYDRA_GUARDIAN,TXT_EQ_BOSS_HYDRA_GUARDIAN_NAME,4,ARMOR,HEAVY,780,BOSS,RAID_HYDRA,TUNABLE,TRUE
EQ_BOSS_HYDRA_ARCHER,TXT_EQ_BOSS_HYDRA_ARCHER_NAME,4,WEAPON,BOW,810,BOSS,RAID_HYDRA,TUNABLE,TRUE
EQ_BOSS_HYDRA_MAGE,TXT_EQ_BOSS_HYDRA_MAGE_NAME,4,WEAPON,STAFF,805,BOSS,RAID_HYDRA,TUNABLE,TRUE
EQ_BOSS_HYDRA_CLERIC,TXT_EQ_BOSS_HYDRA_CLERIC_NAME,4,ACCESSORY,WISDOM,760,BOSS,RAID_HYDRA,TUNABLE,TRUE
EQ_BOSS_DRAGON_WARRIOR,TXT_EQ_BOSS_DRAGON_WARRIOR_NAME,5,WEAPON,SWORD,1450,BOSS,RAID_DRAGON,TUNABLE,TRUE
EQ_BOSS_DRAGON_GUARDIAN,TXT_EQ_BOSS_DRAGON_GUARDIAN_NAME,5,ARMOR,HEAVY,1400,BOSS,RAID_DRAGON,TUNABLE,TRUE
EQ_BOSS_DRAGON_ARCHER,TXT_EQ_BOSS_DRAGON_ARCHER_NAME,5,WEAPON,BOW,1420,BOSS,RAID_DRAGON,TUNABLE,TRUE
EQ_BOSS_DRAGON_MAGE,TXT_EQ_BOSS_DRAGON_MAGE_NAME,5,WEAPON,STAFF,1440,BOSS,RAID_DRAGON,TUNABLE,TRUE
EQ_BOSS_DRAGON_CLERIC,TXT_EQ_BOSS_DRAGON_CLERIC_NAME,5,ACCESSORY,WISDOM,1380,BOSS,RAID_DRAGON,TUNABLE,TRUE
