item_id,name_text_key,category,tier,source_type,source_id,sell_price,rarity,stack_limit,status,enabled
MAT_R04_BOG_CRYSTAL,TXT_MAT_R04_BOG_CRYSTAL_NAME,MAGIC,4,REGION,REGION_R04,95,RARE,9999,TUNABLE,TRUE
MAT_R04_TROLL_HIDE,TXT_MAT_R04_TROLL_HIDE_NAME,CRAFT,4,REGION,REGION_R04,84,RARE,9999,TUNABLE,TRUE
MAT_R05_FROST_ORE,TXT_MAT_R05_FROST_ORE_NAME,ORE,5,REGION,REGION_R05,110,RARE,9999,TUNABLE,TRUE
MAT_R05_ICE_BLOOM,TXT_MAT_R05_ICE_BLOOM_NAME,ALCHEMY,5,REGION,REGION_R05,105,RARE,9999,TUNABLE,TRUE
MAT_R05_WRAITH_DUST,TXT_MAT_R05_WRAITH_DUST_NAME,MAGIC,5,REGION,REGION_R05,125,RARE,9999,TUNABLE,TRUE
MAT_R05_YETI_FUR,TXT_MAT_R05_YETI_FUR_NAME,CRAFT,5,REGION,REGION_R05,120,RARE,9999,TUNABLE,TRUE
MAT_R05_ANCIENT_RUNE,TXT_MAT_R05_ANCIENT_RUNE_NAME,RELIC,5,REGION,REGION_R05,155,RARE,9999,TUNABLE,TRUE
MAT_R05_FROZEN_CORE,TXT_MAT_R05_FROZEN_CORE_NAME,MAGIC,5,REGION,REGION_R05,170,RARE,9999,TUNABLE,TRUE
MAT_BOSS_HYDRA_SCALE,TXT_MAT_BOSS_HYDRA_SCALE_NAME,BOSS,4,RAID,RAID_HYDRA,220,EPIC,9999,TUNABLE,TRUE
MAT_BOSS_HYDRA_HEART,TXT_MAT_BOSS_HYDRA_HEART_NAME,BOSS,4,RAID,RAID_HYDRA,360,EPIC,9999,TUNABLE,TRUE
MAT_BOSS_HYDRA_VENOM,TXT_MAT_BOSS_HYDRA_VENOM_NAME,BOSS,4,RAID,RAID_HYDRA,280,EPIC,9999,TUNABLE,TRUE
MAT_BOSS_HYDRA_FANG,TXT_MAT_BOSS_HYDRA_FANG_NAME,BOSS,4,RAID,RAID_HYDRA,260,EPIC,9999,TUNABLE,TRUE
MAT_BOSS_DRAGON_HORN,TXT_MAT_BOSS_DRAGON_HORN_NAME,BOSS,5,RAID,RAID_DRAGON,600,RELIC,9999,TUNABLE,TRUE
MAT_BOSS_DRAGON_SCALE,TXT_MAT_BOSS_DRAGON_SCALE_NAME,BOSS,5,RAID,RAID_DRAGON,580,RELIC,9999,TUNABLE,TRUE
MAT_BOSS_DRAGON_HEART,TXT_MAT_BOSS_DRAGON_HEART_NAME,BOSS,5,RAID,RAID_DRAGON,900,RELIC,9999,TUNABLE,TRUE
MAT_BOSS_ASH_CORE,TXT_MAT_BOSS_ASH_CORE_NAME,BOSS,5,RAID,RAID_DRAGON,650,RELIC,9999,TUNABLE,TRUE
MAT_ENHANCE_1,TXT_MAT_ENHANCE_1_NAME,ENHANCE,1,DISMANTLE,,15,COMMON,9999,TUNABLE,TRUE
MAT_ENHANCE_2,TXT_MAT_ENHANCE_2_NAME,ENHANCE,2,DISMANTLE,,45,COMMON,9999,TUNABLE,TRUE
MAT_ENHANCE_3,TXT_MAT_ENHANCE_3_NAME,ENHANCE,3,DISMANTLE,,120,RARE,9999,TUNABLE,TRUE
MAT_ENHANCE_4,TXT_MAT_ENHANCE_4_NAME,ENHANCE,4,DISMANTLE,,300,RARE,9999,TUNABLE,TRUE
MAT_REFINE_STABILIZER,TXT_MAT_REFINE_STABILIZER_NAME,REFINE,4,ELITE_AND_RAID,,180,EPIC,9999,TUNABLE,TRUE
MAT_PROMO_BRONZE_EMBLEM,TXT_MAT_PROMO_BRONZE_EMBLEM_NAME,PROMOTION,5,PROMOTION_CONTENT,,50,COMMON,9999,TUNABLE,TRUE
MAT_PROMO_SILVER_BADGE,TXT_MAT_PROMO_SILVER_BADGE_NAME,PROMOTION,5,PROMOTION_CONTENT,,140,RARE,9999,TUNABLE,TRUE
MAT_PROMO_ELITE_SIGIL,TXT_MAT_PROMO_ELITE_SIGIL_NAME,PROMOTION,5,PROMOTION_CONTENT,,320,EPIC,9999,TUNABLE,TRUE
MAT_PROMO_HERO_CREST,TXT_MAT_PROMO_HERO_CREST_NAME,PROMOTION,5,PROMOTION_CONTENT,,700,EPIC,9999,TUNABLE,TRUE
MAT_PROMO_LEGEND_CREST,TXT_MAT_PROMO_LEGEND_CREST_NAME,PROMOTION,5,PROMOTION_CONTENT,,1500,RELIC,9999,TUNABLE,TRUE
MAT_PROMO_RARE_CORE,TXT_MAT_PROMO_RARE_CORE_NAME,PROMOTION,5,PROMOTION_CONTENT,,600,EPIC,9999,TUNABLE,TRUE
MAT_PROMO_AWAKENING_STONE,TXT_MAT_PROMO_AWAKENING_STONE_NAME,PROMOTION,5,PROMOTION_CONTENT,,900,EPIC,9999,TUNABLE,TRUE
MAT_PROMO_STAR_SIGIL,TXT_MAT_PROMO_STAR_SIGIL_NAME,PROMOTION,5,PROMOTION_CONTENT,,1800,RELIC,9999,TUNABLE,TRUE
MAT_PROMO_ANCIENT_AWAKENING,TXT_MAT_PROMO_ANCIENT_AWAKENING_NAME,PROMOTION,5,PROMOTION_CONTENT,,2200,RELIC,9999,TUNABLE,TRUE
MAT_PROMO_FATE_CHALICE,TXT_MAT_PROMO_FATE_CHALICE_NAME,PROMOTION,5,PROMOTION_CONTENT,,4000,RELIC,9999,TUNABLE,TRUE
